StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
00679B,39021000,8249,1136714130,29.14,29.18,29.1,29.14,0.34,2023-12-04
00687B,36528000,6990,1109302840,30.39,30.4,30.34,30.38,0.36,2023-12-04
00694B,103000,6,4096780,39.75,39.78,39.75,39.78,-0.02,2023-12-04
00695B,126000,13,4315210,34.25,34.26,34.23,34.23,0.1,2023-12-04
00696B,7233000,442,222767660,30.87,30.87,30.75,30.81,0.36,2023-12-04
00697B,326000,88,11433190,35.1,35.11,35.04,35.07,0.12,2023-12-04
00718B,102000,4,2041020,20.02,20.02,20.0,20.0,-0.01,2023-12-04
00719B,2435000,390,75307290,30.99,30.99,30.9,30.91,-0.04,2023-12-04
00720B,27003000,5645,927739310,34.35,34.39,34.32,34.36,0.37,2023-12-04
00721B,52000,3,2331290,44.96,44.96,44.83,44.83,-0.14,2023-12-04
00722B,6045000,1230,224786690,37.14,37.21,37.11,37.2,0.45,2023-12-04
00723B,243000,18,8150700,33.48,33.59,33.48,33.53,0.4,2023-12-04
00724B,2476000,277,82020860,33.13,33.17,33.1,33.12,0.34,2023-12-04
00725B,3230000,644,118551180,36.73,36.73,36.62,36.72,0.35,2023-12-04
00726B,326000,81,10756750,32.93,33.02,32.92,33.0,0.13,2023-12-04
00727B,290000,37,11139200,38.51,38.51,38.34,38.41,0.04,2023-12-04
00734B,1037000,25,15848940,15.28,15.32,15.27,15.3,0.12,2023-12-04
00740B,4533000,184,178047100,39.32,39.32,39.2,39.27,0.38,2023-12-04
00741B,100000,4,3703000,37.03,37.03,37.03,37.03,-0.02,2023-12-04
00746B,3064000,64,110385460,35.95,36.06,35.95,36.03,0.35,2023-12-04
00749B,102000,4,3158890,30.91,30.98,30.91,30.98,0.24,2023-12-04
00750B,100000,2,3485000,34.85,34.85,34.85,34.85,0.36,2023-12-04
00751B,21024000,4107,720160480,34.24,34.29,34.2,34.28,0.41,2023-12-04
00754B,183000,25,6586260,35.9,36.07,35.9,36.03,0.45,2023-12-04
00755B,231000,32,7637720,33.06,33.1,33.05,33.06,0.36,2023-12-04
00756B,1111000,156,35467400,31.85,31.95,31.85,31.9,0.31,2023-12-04
00758B,101000,3,5216600,51.6,51.65,51.6,51.65,0.65,2023-12-04
00759B,100000,2,5570000,55.7,55.7,55.7,55.7,0.6,2023-12-04
00760B,219000,47,11326450,51.75,51.75,51.6,51.75,0.2,2023-12-04
00761B,454000,82,16470120,36.3,36.32,36.19,36.29,0.42,2023-12-04
00764B,3671000,437,110999630,30.26,30.28,30.19,30.26,0.35,2023-12-04
00768B,247000,20,12967000,52.5,52.5,52.45,52.45,0.55,2023-12-04
00772B,14814000,2593,518939300,35.05,35.06,34.99,35.04,0.35,2023-12-04
00773B,3857000,599,137078860,35.53,35.58,35.5,35.53,0.3,2023-12-04
