StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
00707R,35000,7,925080,26.44,26.44,26.38,26.38,0.01,2023-12-15
00708L,931338,229,25279247,27.1,27.22,27.08,27.22,0.14,2023-12-15
00709,24377,820,649551,26.64,26.7,26.64,26.7,0.2,2023-12-15
00710B,532696,154,10057147,18.87,18.9,18.86,18.87,0.0,2023-12-15
00711B,202326,976,3321201,16.35,16.44,16.35,16.41,0.22,2023-12-15
00712,80650308,14597,834596401,10.28,10.4,10.27,10.38,0.3,2023-12-15
00713,10376603,8157,532077156,51.4,51.55,51.15,51.15,-0.2,2023-12-15
00714,853113,387,17014452,19.88,20.01,19.82,19.94,0.5,2023-12-15
00715L,65733945,7898,856153950,12.95,13.1,12.95,13.03,0.7,2023-12-15
00717,654063,818,9852882,15.03,15.08,15.03,15.07,0.15,2023-12-15
00728,1196271,470,33180323,27.49,27.83,27.49,27.76,0.31,2023-12-15
00730,1387693,654,28392769,20.32,20.52,20.29,20.47,0.26,2023-12-15
00731,588638,199,39836482,68.0,68.0,67.5,67.5,-0.4,2023-12-15
00733,861427,959,49745018,58.5,58.8,57.15,57.45,-0.85,2023-12-15
00735,132368,33,4030080,30.49,30.5,30.39,30.4,0.2,2023-12-15
00736,190005,986,3832464,20.06,20.21,20.06,20.15,0.21,2023-12-15
00737,263289,977,8098136,30.63,30.83,30.63,30.79,0.32,2023-12-15
00738U,589825,193,13409008,22.71,22.8,22.68,22.8,0.28,2023-12-15
00739,43261,974,853441,19.8,19.87,19.69,19.69,-0.06,2023-12-15
00752,3565850,912,59279660,16.39,16.77,16.39,16.61,0.33,2023-12-15
00753L,29640923,3383,216781447,7.21,7.46,7.16,7.29,0.24,2023-12-15
00757,1316804,1777,84722624,64.4,64.45,64.2,64.35,-0.35,2023-12-15
00762,147147,255,7235941,49.24,49.25,49.1,49.13,-0.11,2023-12-15
00763U,320050,69,7674484,23.93,24.05,23.92,24.05,0.36,2023-12-15
00770,117544,486,4589075,39.16,39.16,38.99,39.02,-0.15,2023-12-15
00771,70435,937,1161217,16.37,16.52,16.37,16.5,0.15,2023-12-15
00775B,2100,3,73704,35.1,35.11,35.1,35.11,0.38,2023-12-15
00783,42116,7,781011,18.55,18.56,18.5,18.5,-0.05,2023-12-15
00830,4510456,2907,168195388,37.12,37.35,37.12,37.33,0.54,2023-12-15
00850,3035324,1699,105048561,34.6,34.65,34.54,34.54,0.08,2023-12-15
00851,21834,783,808759,37.3,37.3,37.02,37.09,-0.22,2023-12-15
00852L,650422,53,14548191,22.32,22.41,22.32,22.4,0.08,2023-12-15
00861,327744,253,11314587,34.5,34.55,34.49,34.51,0.23,2023-12-15
00865B,247049,1006,10584022,42.95,42.95,42.82,42.82,-0.09,2023-12-15
00875,381685,208,11814172,30.89,30.98,30.89,30.97,0.16,2023-12-15
00876,2492405,782,82140360,32.71,33.01,32.71,32.96,0.56,2023-12-15
00878,62666519,35106,1319500905,21.19,21.25,20.98,20.99,-0.11,2023-12-15
00881,16580337,5041,299942765,18.1,18.13,18.03,18.03,0.02,2023-12-15
00882,31554522,6725,324621479,10.14,10.35,10.14,10.28,0.16,2023-12-15
00885,18098895,5056,212028581,11.79,11.79,11.66,11.7,-0.1,2023-12-15
00891,16257886,4916,263379167,16.16,16.28,16.15,16.16,0.07,2023-12-15
00892,3961187,1235,55497959,14.05,14.08,13.94,13.95,-0.02,2023-12-15
00893,16694335,4334,295072656,17.52,17.72,17.51,17.67,0.27,2023-12-15
00894,2070706,497,32756851,15.81,15.87,15.74,15.74,0.02,2023-12-15
00895,4241746,1480,83942719,19.64,19.83,19.64,19.81,0.3,2023-12-15
00896,2821715,1091,45350850,16.06,16.11,16.04,16.05,0.09,2023-12-15
00897,2185834,590,16264732,7.38,7.47,7.38,7.46,0.21,2023-12-15
00898,1087801,336,7876697,7.23,7.26,7.22,7.24,0.11,2023-12-15
00899,356019,1180,6698682,18.82,18.86,18.7,18.86,0.9,2023-12-15
00900,25571045,6202,356343334,13.92,13.98,13.9,13.92,0.05,2023-12-15
