date,FuturesID,ContractDate,Open,Max,Min,Close,Change,ChangePer,Volume,SettlementPrice,OpenInterest,TradingSession
2023-12-15,XAF,202403,0.6735,0.6735,0.6735,0.6735,0.0007,0.1,2.0,0.6735,32,Position
2023-12-15,XAF,202403,0.6728,0.674,0.6715,0.673,0.0002,0.03,5.0,0.0,0,AfterMarket
2023-12-15,XAF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6751,0,Position
2023-12-15,XAF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-15,XAF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0,Position
2023-12-15,XAF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-15,UNF,202312,16555.0,16569.0,16548.0,16551.0,-108.0,-0.65,148.0,16551.0,1283,Position
2023-12-15,UNF,202312,16660.0,16668.0,16422.0,16544.0,-115.0,-0.69,1646.0,0.0,0,AfterMarket
2023-12-15,UNF,202403,16756.0,16777.0,16748.0,16762.0,-108.0,-0.64,217.0,16764.0,1415,Position
2023-12-15,UNF,202403,16873.0,16879.0,16630.0,16752.0,-118.0,-0.7,1088.0,0.0,0,AfterMarket
2023-12-15,UNF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16930.0,6,Position
2023-12-15,UNF,202406,17000.0,17000.0,16880.0,16880.0,-158.0,-0.93,3.0,0.0,0,AfterMarket
2023-12-15,UNF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17081.0,0,Position
2023-12-15,UNF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-15,UNF,202412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17234.0,0,Position
2023-12-15,UNF,202412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-15,UDF,202312,37260.0,37333.0,37260.0,37306.0,111.0,0.3,105.0,37306.0,503,Position
2023-12-15,UDF,202312,37240.0,37394.0,37067.0,37289.0,94.0,0.25,589.0,0.0,0,AfterMarket
2023-12-15,UDF,202403,37605.0,37654.0,37594.0,37630.0,85.0,0.23,148.0,37630.0,1231,Position
2023-12-15,UDF,202403,37586.0,37660.0,37410.0,37600.0,55.0,0.15,563.0,0.0,0,AfterMarket
2023-12-15,UDF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37935.0,8,Position
2023-12-15,UDF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-15,UDF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37899.0,0,Position
2023-12-15,UDF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-15,TX,202312,17771.0,17775.0,17672.0,17674.0,11.0,0.06,80686.0,17673.0,77816,Position
2023-12-15,TX,202312,17670.0,17744.0,17642.0,17742.0,79.0,0.45,53416.0,0.0,0,AfterMarket
2023-12-15,TX,202401,17744.0,17756.0,17667.0,17669.0,18.0,0.1,15438.0,17671.0,21791,Position
2023-12-15,TX,202401,17653.0,17726.0,17633.0,17725.0,74.0,0.42,2715.0,0.0,0,AfterMarket
