StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
704774,5000,1,850,0.17,0.17,0.17,0.17,0.07,2023-12-15
704775,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704776,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704777,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704778,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704779,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704780,116000,12,307200,2.82,2.82,2.5,2.5,-0.51,2023-12-15
704781,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704782,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704783,2000,1,7260,3.63,3.63,3.63,3.63,-0.02,2023-12-15
704784,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704785,5964000,87,1364580,0.23,0.28,0.18,0.18,-0.01,2023-12-15
704786,8000,1,1360,0.17,0.17,0.17,0.17,-0.03,2023-12-15
704787,343000,13,223000,0.7,0.7,0.63,0.7,0.06,2023-12-15
704788,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704789,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704790,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704791,31000,3,40790,1.35,1.35,1.25,1.25,-0.04,2023-12-15
704792,463000,11,396780,0.86,0.88,0.82,0.82,0.01,2023-12-15
704793,290000,11,223900,0.78,0.84,0.72,0.72,-0.02,2023-12-15
704794,9000,2,4810,0.54,0.54,0.53,0.53,-0.03,2023-12-15
704795,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704796,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704797,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704798,205000,16,329300,1.6,1.63,1.52,1.62,0.13,2023-12-15
704799,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704800,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704801,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704802,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704803,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704804,430000,20,735340,1.73,1.75,1.59,1.65,-0.07,2023-12-15
704805,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704806,786000,11,261470,0.37,0.38,0.3,0.3,-0.06,2023-12-15
704807,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704808,30000,2,12800,0.44,0.44,0.42,0.42,0.0,2023-12-15
704809,254000,5,201510,0.8,0.81,0.77,0.77,-0.07,2023-12-15
704810,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704811,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704812,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704813,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704814,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704815,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704816,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704817,11000,2,33610,3.47,3.47,2.9,2.9,-0.15,2023-12-15
704818,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704819,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704820,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704821,5000,1,2950,0.59,0.59,0.59,0.59,-0.16,2023-12-15
704822,20000,1,9600,0.48,0.48,0.48,0.48,-0.04,2023-12-15
704823,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704824,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704825,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704826,56000,3,329850,6.1,6.1,5.6,5.6,-1.4,2023-12-15
704827,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704828,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704829,448000,43,617500,1.51,1.51,1.34,1.44,-0.07,2023-12-15
704830,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704831,10000,1,7800,0.78,0.78,0.78,0.78,-0.06,2023-12-15
704832,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704833,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704834,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704835,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704836,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704837,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704838,120000,16,226300,1.93,1.93,1.77,1.85,-0.22,2023-12-15
704839,130000,10,210700,1.69,1.69,1.6,1.62,-0.08,2023-12-15
704840,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704841,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704842,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704843,310000,6,212000,0.77,0.8,0.57,0.57,-0.2,2023-12-15
704844,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704845,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704846,18000,2,3880,0.21,0.22,0.21,0.22,-0.02,2023-12-15
704847,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704848,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704849,301000,12,41080,0.19,0.19,0.13,0.13,-0.06,2023-12-15
704850,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704851,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704852,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704853,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704854,50000,4,9300,0.19,0.19,0.17,0.17,0.07,2023-12-15
704855,34000,4,22310,0.66,0.66,0.65,0.65,-0.05,2023-12-15
704856,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704857,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704858,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704859,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704860,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704861,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704862,205000,5,535290,2.69,2.69,2.59,2.65,-0.09,2023-12-15
704863,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704864,121000,10,78510,0.66,0.67,0.56,0.57,-0.03,2023-12-15
704865,112000,30,138870,1.29,1.29,1.17,1.23,-0.05,2023-12-15
704866,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704867,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704868,21000,3,73580,3.58,3.58,3.18,3.46,-0.47,2023-12-15
704869,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704870,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704871,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704872,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704873,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704874,149000,1,93870,0.63,0.63,0.63,0.63,-0.01,2023-12-15
704875,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704876,48000,2,37440,0.79,0.79,0.77,0.77,-0.02,2023-12-15
704877,113000,2,102910,0.85,0.92,0.85,0.92,0.05,2023-12-15
704878,432000,10,490860,1.04,1.18,1.03,1.06,0.12,2023-12-15
704879,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704880,1075000,29,1660080,1.64,1.64,1.49,1.53,-0.13,2023-12-15
704881,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704882,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704883,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704884,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704885,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704886,120000,1,18000,0.15,0.15,0.15,0.15,0.02,2023-12-15
704887,100000,2,35000,0.35,0.35,0.35,0.35,-0.02,2023-12-15
704888,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704889,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704890,50000,1,17000,0.34,0.34,0.34,0.34,-0.04,2023-12-15
704891,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704892,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704893,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704894,177000,13,208830,1.13,1.24,1.13,1.17,0.11,2023-12-15
704895,35000,4,163900,4.64,4.79,4.64,4.64,0.06,2023-12-15
704896,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704897,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704898,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704899,1000,1,2040,2.04,2.04,2.04,2.04,0.03,2023-12-15
704900,1000,1,2750,2.75,2.75,2.75,2.75,-0.02,2023-12-15
704901,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704902,131000,1,20960,0.16,0.16,0.16,0.16,-0.02,2023-12-15
704903,45000,2,6300,0.14,0.14,0.14,0.14,-0.05,2023-12-15
704904,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704905,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704906,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704907,905000,19,619060,0.71,0.71,0.6,0.63,-0.14,2023-12-15
704908,379000,17,99710,0.25,0.3,0.25,0.25,0.03,2023-12-15
704909,50000,1,8500,0.17,0.17,0.17,0.17,-0.01,2023-12-15
704910,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704911,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704912,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704913,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704914,70000,1,25900,0.37,0.37,0.37,0.37,-0.02,2023-12-15
704915,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704916,274000,7,296290,1.06,1.09,1.06,1.09,-0.04,2023-12-15
704917,30000,3,53000,1.75,1.79,1.75,1.79,-0.09,2023-12-15
704918,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704919,99000,1,42570,0.43,0.43,0.43,0.43,-0.01,2023-12-15
704920,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704921,230000,2,18700,0.08,0.09,0.08,0.09,0.0,2023-12-15
704922,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704923,12000,2,24130,2.04,2.04,1.99,1.99,-0.13,2023-12-15
704924,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704925,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704926,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704927,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704928,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704929,65000,1,5850,0.09,0.09,0.09,0.09,-0.03,2023-12-15
704930,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704931,120000,3,41900,0.35,0.35,0.34,0.35,-0.04,2023-12-15
704932,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704933,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704934,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704935,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704936,72000,3,62440,0.79,0.93,0.79,0.87,0.1,2023-12-15
704937,73000,2,91990,1.26,1.27,1.26,1.27,0.16,2023-12-15
704938,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704939,193000,6,33960,0.18,0.18,0.17,0.17,-0.04,2023-12-15
704940,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704941,7000,3,19220,2.76,2.76,2.7,2.7,-0.18,2023-12-15
704942,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704943,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704944,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704945,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704946,100000,4,2500,0.03,0.03,0.02,0.03,-0.01,2023-12-15
704947,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704948,10000,1,3100,0.31,0.31,0.31,0.31,0.04,2023-12-15
704949,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704950,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704951,5000,1,9250,1.85,1.85,1.85,1.85,-0.02,2023-12-15
704952,49000,5,143310,2.91,3.03,2.89,3.03,0.13,2023-12-15
704953,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704954,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704955,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704956,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704957,40000,2,14400,0.36,0.36,0.36,0.36,0.02,2023-12-15
704958,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704959,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704960,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704961,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704962,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704963,693000,11,471640,0.69,0.69,0.65,0.65,-0.07,2023-12-15
704964,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704965,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704966,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704967,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704968,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704969,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704970,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704971,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704972,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704973,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704974,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704975,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704976,9000,2,4650,0.53,0.53,0.5,0.5,0.0,2023-12-15
704977,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704978,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704979,245000,8,46550,0.19,0.19,0.19,0.19,0.03,2023-12-15
704980,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704981,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704982,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704983,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704984,118000,13,66100,0.61,0.61,0.48,0.48,0.03,2023-12-15
704985,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704986,20000,5,29550,1.44,1.51,1.43,1.51,-0.01,2023-12-15
704987,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704988,14000,1,31920,2.28,2.28,2.28,2.28,-0.11,2023-12-15
704989,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704990,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704991,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704992,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704993,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704994,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704995,15000,1,750,0.05,0.05,0.05,0.05,0.03,2023-12-15
704996,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704997,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
704998,2000,2,530,0.26,0.27,0.26,0.27,0.02,2023-12-15
704999,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705000,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705001,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705002,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705003,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705004,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705005,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705006,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705007,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705008,122000,13,171280,1.35,1.59,1.29,1.29,0.01,2023-12-15
705009,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705010,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705011,114000,5,80730,0.78,0.78,0.64,0.64,-0.01,2023-12-15
705012,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705013,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705014,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705015,58000,5,15080,0.26,0.26,0.26,0.26,-0.03,2023-12-15
705016,200000,1,8000,0.04,0.04,0.04,0.04,-0.03,2023-12-15
705017,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
705018,19000,2,21190,1.12,1.12,1.11,1.11,-0.05,2023-12-15
