股票代號,股票名稱,買進,賣出,現金償還,前日餘額,今日餘額,限額,買進,賣出,現券償還,前日餘額,今日餘額,限額,資券互抵,註記,日期
5215,科嘉-KY,8,14,7,"1,907","1,894","16,084",3,0,0,16,13,"16,084",0, ,20231215
5222,全訊,45,66,0,"3,384","3,363","18,640",3,0,0,9,6,"18,640",0, ,20231215
5225,東科-KY,125,174,0,"4,776","4,727","17,887",1,8,5,166,168,"17,887",3, ,20231215
5234,達興材料,57,143,0,"2,758","2,672","25,678",0,0,0,7,7,"25,678",1, ,20231215
5243,乙盛-KY,63,68,1,"6,937","6,931","42,132",0,3,0,6,9,"42,132",0, ,20231215
5244,弘凱,1,7,0,615,609,"16,986",0,0,0,0,0,"16,986",0, ,20231215
5258,虹堡,639,440,10,"13,955","14,144","26,210",32,12,0,220,200,"26,210",6, ,20231215
5269,祥碩,128,65,0,782,845,"17,340",6,1,0,47,42,"17,340",0, ,20231215
5283,禾聯碩,2,1,0,42,43,"18,250",0,0,0,1,1,"18,250",0, ,20231215
5284,jpp-KY,19,13,1,"3,423","3,428","11,982",0,0,0,33,33,"11,982",0, ,20231215
5285,界霖,18,44,0,"2,386","2,360","25,510",0,0,0,1,1,"25,510",1, ,20231215
5288,豐祥-KY,1,3,0,"1,287","1,285","16,616",0,0,0,12,12,"16,616",0, ,20231215
5306,桂盟,15,36,0,470,449,"31,500",0,0,0,0,0,"31,500",0, ,20231215
5388,中磊,563,"1,152",0,"5,890","5,301","67,913",18,57,270,"1,467","1,236","67,913",4, ,20231215
5434,崇越,6,2,0,655,659,"47,174",0,0,0,1,1,"47,174",0, ,20231215
5469,瀚宇博,473,277,0,"9,023","9,219","132,110",5,0,0,137,132,"132,110",1, ,20231215
5471,松翰,36,150,10,"1,809","1,685","41,969",0,0,0,18,18,"41,969",1, ,20231215
5484,慧友,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
5515,建國,"1,212",509,0,"4,084","4,787","63,000",69,25,0,222,178,"63,000",4, ,20231215
5519,隆大,6,83,0,"2,481","2,404","54,799",1,0,0,3,2,"54,799",0, ,20231215
5521,工信,"1,675","7,238",0,"21,692","16,129","123,070",726,296,0,"1,975","1,545","123,070",104, ,20231215
5522,遠雄,6,4,1,395,396,"195,399",0,0,0,0,0,"195,399",0, ,20231215
5525,順天,0,0,0,849,849,"70,116",0,0,0,0,0,"70,116",0, ,20231215
5531,鄉林,35,93,0,"8,865","8,807","244,397",0,1,0,80,81,"244,397",0, ,20231215
5533,皇鼎,407,253,0,"1,745","1,899","71,311",1,0,0,2,1,"71,311",1, ,20231215
5534,長虹,23,18,0,"1,387","1,392","72,581",0,0,0,0,0,"72,581",0, ,20231215
5538,東明-KY,2,0,0,109,111,"50,300",0,0,0,0,0,"50,300",0, ,20231215
5546,永固-KY,0,1,0,"1,398","1,397","20,588",0,0,0,0,0,"20,588",0, ,20231215
5607,遠雄港,31,298,4,"5,717","5,446","84,094",3,0,0,"1,562","1,559","84,094",0, ,20231215
5608,四維航,308,221,12,"14,907","14,982","97,316",11,31,41,791,770,"97,316",1, ,20231215
5706,鳳凰,39,43,0,"4,761","4,757","18,441",24,7,0,526,509,"18,441",0, ,20231215
5871,中租-KY,261,554,2,"3,439","3,144","403,643",2,26,0,343,367,"403,643",0, ,20231215
5876,上海商銀,3,13,0,887,877,"1,215,400",0,2,0,91,93,"1,215,400",0, ,20231215
5880,合庫金,17,9,0,"1,230","1,238","3,677,345",0,0,0,14,14,"3,677,345",0, ,20231215
5906,台南-KY,0,3,0,847,844,"8,343",0,0,0,2,2,"8,343",0, ,20231215
5907,大洋-KY,11,2,0,"1,973","1,982","48,882",0,0,0,0,0,"48,882",0, ,20231215
6005,群益證,141,128,1,"1,921","1,933","542,727",0,1,0,16,17,"542,727",5, ,20231215
6024,群益期,1,3,0,335,333,"52,609",0,0,0,0,0,"52,609",0, ,20231215
6108,競國,41,130,0,"2,695","2,606","39,974",13,2,0,106,95,"39,974",0, ,20231215
6112,邁達特,178,183,1,"5,817","5,811","30,589",4,0,0,219,215,"30,589",0, ,20231215
6115,鎰勝,1,0,0,36,37,"46,915",0,0,0,0,0,"46,915",0, ,20231215
6116,彩晶,307,368,10,"35,219","35,148","735,082",0,1,0,162,163,"735,082",0, ,20231215
6117,迎廣,337,436,0,"3,444","3,345","22,162",72,6,2,"1,844","1,776","22,162",214, ,20231215
6120,達運,100,58,0,"11,391","11,433","166,388",8,0,0,42,34,"166,388",0, ,20231215
6128,上福,12,7,0,795,800,"31,897",0,0,0,0,0,"31,897",0, ,20231215
6133,金橋,0,2,0,"3,056","3,054",0,0,0,0,0,0,0,0,OX ,20231215
6136,富爾特,40,42,0,"3,224","3,222","28,884",0,1,0,10,11,"28,884",0, ,20231215
6139,亞翔,572,692,0,"8,036","7,916","56,385",70,18,0,"1,232","1,180","56,385",10, ,20231215
6141,柏承,0,0,5,645,640,"28,338",0,0,0,0,0,"28,338",0, ,20231215
6142,友勁,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
6152,百一,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
6153,嘉聯益,"1,971",681,0,"13,068","14,358","116,837",0,0,0,0,0,"116,837",0,X ,20231215
6155,鈞寶,54,51,3,"1,855","1,855","21,909",0,0,0,0,0,"21,909",0, ,20231215
6164,華興,25,222,0,"2,831","2,634","25,000",0,0,0,4,4,"25,000",0, ,20231215
6165,浪凡,54,2,0,"8,019","8,071","12,420",0,0,0,0,0,"12,420",0, ,20231215
6166,凌華,6,18,1,"2,857","2,844","50,697",0,1,0,2,3,"50,697",0, ,20231215
6168,宏齊,776,697,0,"5,155","5,234","51,517",1,36,0,205,240,"51,517",17, ,20231215
6176,瑞儀,76,53,0,"2,414","2,437","116,256",5,0,0,60,55,"116,256",0, ,20231215
6177,達麗,18,16,0,"3,367","3,369","101,935",0,0,0,1,1,"101,935",0, ,20231215
6183,關貿,0,0,0,56,56,"37,500",0,0,0,0,0,"37,500",0, ,20231215
6184,大豐電,0,2,0,18,16,"39,557",0,0,0,0,0,"39,557",0, ,20231215
6189,豐藝,69,182,0,980,867,"53,107",5,0,0,22,17,"53,107",0, ,20231215
6191,精成科,"1,423",831,6,"7,953","8,539","118,575",5,40,0,479,514,"118,575",4, ,20231215
6192,巨路,140,11,0,236,365,"24,038",0,0,0,0,0,"24,038",0, ,20231215
6196,帆宣,49,24,0,"2,023","2,048","50,076",1,0,0,62,61,"50,076",0, ,20231215
6197,佳必琪,148,170,0,"4,059","4,037","30,521",23,53,0,252,282,"30,521",9, ,20231215
6201,亞弘電,0,0,0,94,94,"22,300",0,0,0,0,0,"22,300",0, ,20231215
6202,盛群,76,50,0,"5,562","5,588","56,542",0,7,0,149,156,"56,542",0, ,20231215
6205,詮欣,278,279,300,"11,175","10,874","20,558",52,7,0,320,275,"20,558",1, ,20231215
6206,飛捷,2,3,0,909,908,"35,765",0,0,0,3,3,"35,765",0, ,20231215
6209,今國光,270,144,0,"4,697","4,823","43,582",19,17,0,55,53,"43,582",3, ,20231215
6213,聯茂,227,167,2,"5,183","5,241","90,739",8,13,0,352,357,"90,739",1, ,20231215
6214,精誠,16,9,0,"1,298","1,305","68,075",0,0,0,53,53,"68,075",0, ,20231215
6215,和椿,40,1,0,967,"1,006","20,697",0,0,0,0,0,"20,697",0, ,20231215
6216,居易,78,20,0,"1,679","1,737","23,212",9,0,0,25,16,"23,212",0, ,20231215
6224,聚鼎,24,30,4,"1,049","1,039","21,411",0,0,0,1,1,"21,411",0, ,20231215
6225,天瀚,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
6226,光鼎,0,22,21,"4,068","4,025",0,0,0,0,0,0,0,0,OX ,20231215
6230,尼得科超眾,0,23,0,354,331,"21,585",0,0,0,0,0,"21,585",0, ,20231215
6235,華孚,"1,051",685,6,"19,278","19,638","48,289",148,26,0,"1,482","1,360","48,289",2, ,20231215
6239,力成,728,856,0,"2,516","2,388","189,786",49,139,0,283,373,"189,786",13, ,20231215
6243,迅杰,185,227,2,"3,822","3,778","9,317",59,32,0,334,307,"9,317",0, ,20231215
6257,矽格,965,"3,481",0,"8,056","5,540","114,185",37,8,0,160,131,"114,185",155, ,20231215
6269,台郡,32,77,7,"4,215","4,163","80,625",1,3,0,80,82,"80,625",0, ,20231215
6271,同欣電,168,288,24,"8,518","8,374","52,264",0,1,0,115,116,"52,264",0, ,20231215
6277,宏正,1,0,0,124,125,"29,867",0,0,0,0,0,"29,867",0, ,20231215
6278,台表科,61,73,1,"3,089","3,076","73,099",5,0,0,109,104,"73,099",0, ,20231215
6281,全國電,1,0,0,0,1,"24,793",0,0,0,0,0,"24,793",0, ,20231215
6282,康舒,264,544,21,"53,843","53,542","215,538",16,52,2,"1,083","1,117","215,538",21, ,20231215
6283,淳安,50,49,0,"2,194","2,195","20,363",0,0,0,12,12,"20,363",0, ,20231215
6285,啟碁,707,"1,083",0,"9,686","9,310","118,405",203,62,0,"1,084",943,"118,405",14, ,20231215
6288,聯嘉,174,191,0,"16,710","16,693","51,401",4,15,0,381,392,"51,401",51, ,20231215
6405,悅城,40,41,0,"2,572","2,571","16,450",0,0,0,1,1,"16,450",0, ,20231215
6409,旭隼,6,7,1,59,57,"21,933",0,0,0,2,2,"21,933",0, ,20231215
6412,群電,15,5,0,399,409,"99,760",0,0,0,16,16,"99,760",0, ,20231215
6414,樺漢,137,125,1,"3,033","3,044","31,470",3,9,3,248,251,"31,470",0, ,20231215
6415,矽力*-KY,97,188,3,"2,349","2,255","95,947",5,24,0,924,943,"95,947",2, ,20231215
6416,瑞祺電通,33,24,0,"2,751","2,760","18,337",0,0,0,10,10,"18,337",0, ,20231215
6426,統新,43,48,0,"2,045","2,040","9,627",5,1,0,76,72,"9,627",1, ,20231215
6431,光麗-KY,0,0,0,"1,967","1,967",0,0,0,0,0,0,0,0,OX ,20231215
6438,迅得,64,13,0,"2,849","2,900","17,820",0,0,0,0,0,"17,820",0, ,20231215
6442,光聖,44,88,0,"9,936","9,892","16,575",2,10,0,35,43,"16,575",0, ,20231215
6443,元晶,"1,314",926,10,"23,753","24,131","128,199",1,41,0,156,196,"128,199",2, ,20231215
6449,鈺邦,25,20,0,754,759,"22,238",0,0,0,1,1,"22,238",0, ,20231215
6451,訊芯-KY,136,189,2,"4,789","4,734","26,813",15,2,0,343,330,"26,813",0, ,20231215
6456,GIS-KY,879,505,0,"7,472","7,846","84,484",0,14,0,60,74,"84,484",2, ,20231215
6464,台數科,0,0,0,5,5,"31,903",0,0,0,0,0,"31,903",0, ,20231215
6477,安集,117,153,0,"4,567","4,531","30,945",0,4,0,68,72,"30,945",0, ,20231215
6491,晶碩,20,25,0,"1,970","1,965","19,500",0,0,0,17,17,"19,500",1, ,20231215
6504,南六,9,5,0,147,151,"18,150",4,0,0,7,3,"18,150",0, ,20231215
6505,台塑化,23,15,0,557,565,"2,381,489",1,3,0,8,10,"2,381,489",0, ,20231215
6515,穎崴,86,92,0,"1,408","1,402","8,694",13,1,0,122,110,"8,694",0, ,20231215
6525,捷敏-KY,9,4,0,537,542,"32,261",0,0,0,0,0,"32,261",0, ,20231215
6531,愛普*,"1,260",458,0,"12,554","13,356","40,489",101,67,0,"1,691","1,657","40,489",13, ,20231215
6533,晶心科,200,225,3,"4,287","4,259","12,662",15,11,0,175,171,"12,662",2, ,20231215
6541,泰福-KY,16,4,0,889,901,"33,466",0,0,0,7,7,"33,466",0, ,20231215
6550,北極星藥業-KY,33,59,0,"6,483","6,457","109,173",1,0,0,20,19,"109,173",0, ,20231215
6552,易華電,6,0,0,"1,921","1,927","20,750",0,0,0,0,0,"20,750",0, ,20231215
6558,興能高,11,4,0,"1,831","1,838","21,612",1,2,0,39,40,"21,612",0, ,20231215
6573,虹揚-KY,0,16,0,645,629,0,0,0,0,0,0,0,0,OX ,20231215
6579,研揚,24,98,0,"2,276","2,202","40,086",4,0,0,31,27,"40,086",0, ,20231215
6581,鋼聯,0,0,0,38,38,"27,817",0,0,0,0,0,"27,817",0, ,20231215
6582,申豐,15,10,0,505,510,"26,543",1,1,0,1,1,"26,543",0, ,20231215
6585,鼎基,68,43,0,"2,976","3,001","17,310",14,2,0,158,146,"17,310",0, ,20231215
6591,動力-KY,2,12,1,"1,297","1,286","8,907",0,0,0,39,39,"8,907",0, ,20231215
6592,和潤企業,32,10,0,637,659,"141,625",0,0,0,0,0,"141,625",0, ,20231215
6598,ABC-KY,0,0,0,337,337,0,0,0,0,0,0,0,0,OX ,20231215
6605,帝寶,251,49,0,"1,824","2,026","41,454",2,1,0,75,74,"41,454",8, ,20231215
6606,建德工業,2,0,0,9,11,"27,575",0,0,0,0,0,"27,575",0, ,20231215
6625,必應,57,122,0,"3,063","2,998","11,085",11,4,0,142,135,"11,085",0, ,20231215
6641,基士德-KY,0,0,0,27,27,"9,250",0,0,0,0,0,"9,250",0, ,20231215
6655,科定,0,1,0,4,3,"18,508",0,0,0,0,0,"18,508",0, ,20231215
6657,華安,0,0,0,0,0,"19,015",0,0,0,0,0,"19,015",0, ,20231215
6666,羅麗芬-KY,3,0,0,555,558,"11,847",0,0,0,0,0,"11,847",0, ,20231215
6668,中揚光,498,556,2,"3,674","3,614","19,553",119,69,3,394,341,"19,553",5, ,20231215
6669,緯穎,67,180,2,"2,280","2,165","43,710",25,2,0,107,84,"43,710",1, ,20231215
6670,復盛應用,1,3,0,262,260,"33,143",0,0,0,3,3,"33,143",0, ,20231215
6671,三能-KY,1,1,0,57,57,"15,187",0,0,0,0,0,"15,187",0, ,20231215
6672,騰輝電子-KY,182,124,6,"3,512","3,564","17,858",3,51,0,411,459,"17,858",1, ,20231215
6674,鋐寶科技,0,2,0,27,25,"16,909",0,0,0,0,0,"16,909",0, ,20231215
6689,伊雲谷,15,22,0,814,807,"17,000",0,0,0,0,0,"17,000",0, ,20231215
6691,洋基工程,45,124,0,909,830,"22,069",0,6,0,40,46,"22,069",0, ,20231215
6695,芯鼎,164,399,0,"4,166","3,931","21,302",18,18,0,171,171,"21,302",2, ,20231215
6698,旭暉應材,60,54,5,956,957,"16,597",0,0,0,2,2,"16,597",0, ,20231215
6706,惠特,11,13,4,"2,120","2,114","18,384",0,0,0,130,130,"18,384",0, ,20231215
6715,嘉基,182,96,0,"4,786","4,872","15,660",0,0,0,76,76,"15,660",1, ,20231215
6719,力智,26,114,0,"3,472","3,384","20,302",1,0,0,226,225,"20,302",1, ,20231215
6743,安普新,30,37,0,"2,064","2,057","37,500",0,1,0,9,10,"37,500",0, ,20231215
6753,龍德造船,14,8,0,735,741,"26,937",0,0,0,11,11,"26,937",0, ,20231215
6754,匯僑設計,249,61,0,503,691,"16,500",0,0,0,0,0,"16,500",1, ,20231215
6756,威鋒電子,192,170,0,"1,620","1,642","17,283",4,1,0,49,46,"17,283",3, ,20231215
6768,志強-KY,0,4,0,929,925,"49,011",0,0,0,6,6,"49,011",0, ,20231215
6770,力積電,232,"1,688",1,"36,129","34,672","1,020,972",19,47,1,"1,212","1,239","1,020,972",7, ,20231215
6776,展碁國際,2,8,0,804,798,"20,395",0,0,0,0,0,"20,395",0, ,20231215
6781,AES-KY,13,20,0,"1,547","1,540","21,354",1,0,0,15,14,"21,354",0, ,20231215
6782,視陽,8,11,0,436,433,"15,750",0,0,0,29,29,"15,750",0, ,20231215
6789,采鈺,622,380,1,"5,399","5,640","79,130",4,18,0,176,190,"79,130",5, ,20231215
6790,永豐實,5,16,0,295,284,"66,782",0,0,0,0,0,"66,782",0, ,20231215
6792,詠業,5,20,0,684,669,"11,968",0,0,0,0,0,"11,968",0, ,20231215
6796,晉弘,22,24,0,720,718,"8,646",0,0,0,0,0,"8,646",0, ,20231215
6799,來頡,108,153,1,"3,501","3,455","10,635",5,2,0,71,68,"10,635",3, ,20231215
6806,森崴能源,198,169,0,"9,091","9,120","54,037",1,0,0,116,115,"54,037",1, ,20231215
6807,峰源-KY,25,63,0,256,218,"13,500",1,0,0,2,1,"13,500",0, ,20231215
6830,汎銓,119,66,0,803,856,"11,695",1,0,0,2,1,"11,695",0, ,20231215
6834,天二科技,0,2,0,290,288,"22,117",0,0,0,0,0,"22,117",0, ,20231215
6835,圓裕,3,17,0,696,682,"16,543",0,0,0,0,0,"16,543",0, ,20231215
6861,睿生光電,2,10,0,242,234,"10,058",0,0,0,0,0,"10,058",0, ,20231215
6863,永道-KY,5,11,0,612,606,"18,579",0,0,0,0,0,"18,579",0, ,20231215
8011,台通,991,644,0,"9,755","10,102","42,730",53,31,1,180,157,"42,730",5, ,20231215
8016,矽創,27,47,0,"2,189","2,169","30,034",0,13,0,138,151,"30,034",0, ,20231215
8021,尖點,41,7,0,"1,109","1,143","35,545",0,0,0,1,1,"35,545",0, ,20231215
8028,昇陽半導體,356,102,4,"8,060","8,310","43,157",2,9,0,60,67,"43,157",0, ,20231215
8033,雷虎,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
8039,台虹,34,14,0,"1,035","1,055","52,279",7,0,0,8,1,"52,279",0, ,20231215
8046,南電,317,386,2,"10,040","9,969","161,541",8,20,0,319,331,"161,541",1, ,20231215
8070,長華*,39,36,0,"1,245","1,248","172,355",1,0,0,1,0,"172,355",0,X ,20231215
8072,陞泰,4,23,0,997,978,"20,000",0,0,0,0,0,"20,000",0, ,20231215
8081,致新,43,28,0,972,987,"21,543",3,6,0,135,138,"21,543",0, ,20231215
8101,華冠,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
8103,瀚荃,41,60,0,"1,390","1,371","19,738",0,0,0,44,44,"19,738",0, ,20231215
8104,錸寶,3,4,1,"1,893","1,891","18,662",0,0,0,0,0,"18,662",0, ,20231215
8105,凌巨,64,30,0,"10,797","10,831","72,140",0,0,0,4,4,"72,140",0, ,20231215
8110,華東,449,587,10,"8,053","7,905","129,434",4,0,0,65,61,"129,434",4, ,20231215
8112,至上,"1,037","2,552",6,"12,717","11,196","124,788",109,45,"1,276","6,117","4,777","124,788",17, ,20231215
8114,振樺電,13,41,0,980,952,"18,898",0,1,0,5,6,"18,898",0, ,20231215
8131,福懋科,2,3,0,477,476,"110,555",0,0,0,0,0,"110,555",0, ,20231215
8150,南茂,406,446,2,"3,930","3,888","181,810",0,6,0,202,208,"181,810",1, ,20231215
8163,達方,253,335,0,"2,216","2,134","70,000",1,0,0,53,52,"70,000",0, ,20231215
8201,無敵,0,0,0,6,6,0,0,0,0,0,0,0,0,OX ,20231215
8210,勤誠,353,393,0,"4,316","4,276","30,148",17,20,0,"1,524","1,527","30,148",4, ,20231215
8213,志超,56,38,0,"1,047","1,065","67,810",0,0,0,0,0,"67,810",0, ,20231215
8215,明基材,48,25,0,"4,100","4,123","80,168",0,0,0,25,25,"80,168",1, ,20231215
8222,寶一,178,196,0,"5,173","5,155","17,143",76,16,0,348,288,"17,143",5, ,20231215
8249,菱光,25,10,0,"1,467","1,482","31,763",0,0,0,10,10,"31,763",0, ,20231215
8261,富鼎,239,349,4,"8,031","7,917","20,722",9,1,0,144,136,"20,722",1, ,20231215
8271,宇瞻,63,102,0,"2,558","2,519","27,922",0,0,0,23,23,"27,922",0, ,20231215
8341,日友,6,3,0,443,446,"32,500",0,0,0,52,52,"32,500",0, ,20231215
8367,建新國際,14,20,0,267,261,"21,933",0,0,0,1,1,"21,933",0, ,20231215
8374,羅昇,1,3,0,499,497,"22,312",0,0,0,1,1,"22,312",0, ,20231215
8404,百和興業-KY,1,0,0,532,533,"82,734",0,0,0,80,80,"82,734",0, ,20231215
8411,福貞-KY,2,0,0,454,456,"54,601",0,0,0,0,0,"54,601",0, ,20231215
8422,可寧衛,1,0,0,295,296,"27,296",0,1,0,25,26,"27,296",0, ,20231215
8429,金麗-KY,22,26,0,"7,410","7,406","46,436",0,0,0,2,2,"46,436",0, ,20231215
8438,昶昕,0,0,0,271,271,"17,485",0,0,0,0,0,"17,485",0, ,20231215
8442,威宏-KY,495,477,3,"1,971","1,986","16,426",0,76,3,12,85,"16,426",0, ,20231215
8443,阿瘦,2,1,0,190,191,"16,700",0,0,0,0,0,"16,700",0, ,20231215
8454,富邦媒,18,37,3,"1,673","1,651","60,085",0,2,0,20,22,"60,085",0, ,20231215
8462,柏文,6,11,0,"1,335","1,330","19,848",0,0,0,7,7,"19,848",0, ,20231215
8463,潤泰材,5,12,0,"1,565","1,558","37,500",0,0,0,1,1,"37,500",0, ,20231215
8464,億豐,116,112,0,"2,513","2,517","73,255",0,2,0,3,5,"73,255",0, ,20231215
8466,美吉吉-KY,0,4,0,516,512,"16,514",0,0,0,6,6,"16,514",0, ,20231215
8467,波力-KY,84,111,0,"1,080","1,053","12,808",3,3,0,53,53,"12,808",0, ,20231215
8473,山林水,25,5,0,575,595,"36,750",0,0,0,0,0,"36,750",0, ,20231215
8476,台境,0,30,0,"1,111","1,081","15,045",0,0,0,0,0,"15,045",0, ,20231215
8478,東哥遊艇,57,63,0,"2,227","2,221","22,221",3,7,0,55,59,"22,221",0, ,20231215
8481,政伸,0,0,0,16,16,"16,650",0,0,0,0,0,"16,650",0, ,20231215
8482,商億-KY,2,1,0,15,16,"27,611",0,0,0,0,0,"27,611",0, ,20231215
8488,吉源-KY,3,1,0,86,88,"16,875",0,0,0,0,0,"16,875",0,X ,20231215
8499,鼎炫-KY,1,0,0,239,240,"10,371",0,0,0,0,0,"10,371",0, ,20231215
8926,台汽電,70,5,0,"3,488","3,553","182,570",0,0,0,2,2,"182,570",0, ,20231215
8940,新天地,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
8996,高力,195,127,0,"12,884","12,952","22,346",40,8,0,509,477,"22,346",3, ,20231215
9103,美德醫療-DR,0,7,10,"3,794","3,777","51,382",24,0,0,"2,876","2,852","51,382",0, ,20231215
910322,康師傅-DR,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
9105,泰金寶-DR,331,89,0,"10,795","11,037","413,841",0,40,29,"1,242","1,253","413,841",114, ,20231215
910861,神州-DR,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
911868,同方友友-DR,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
912000,晨訊科-DR,0,0,0,"1,425","1,425",0,0,0,0,0,0,0,0,OX ,20231215
9136,巨騰-DR,28,15,0,"10,997","11,010","40,000",0,0,0,0,0,"40,000",0, ,20231215
9802,鈺齊-KY,146,82,3,"2,707","2,768","47,747",11,35,0,105,129,"47,747",0, ,20231215
9902,台火,75,25,0,"2,579","2,629","24,512",0,0,0,1,1,"24,512",0, ,20231215
9904,寶成,101,5,10,"3,840","3,926","736,696",0,0,0,42,42,"736,696",0, ,20231215
9905,大華,0,0,0,42,42,"76,250",0,0,0,0,0,"76,250",0, ,20231215
9906,欣巴巴,4,7,0,356,353,"20,835",0,0,0,6,6,"20,835",0, ,20231215
9907,統一實,66,69,0,"4,768","4,765","394,786",0,3,0,29,32,"394,786",1, ,20231215
9908,大台北,0,4,0,47,43,"129,089",0,0,0,0,0,"129,089",0, ,20231215
9910,豐泰,2,9,0,"1,966","1,959","246,870",0,1,0,23,24,"246,870",0, ,20231215
9911,櫻花,2,3,0,609,608,"55,280",0,0,0,0,0,"55,280",0, ,20231215
9912,偉聯,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
9914,美利達,7,22,1,530,514,"74,745",0,2,0,13,15,"74,745",4, ,20231215
9917,中保科,76,104,0,837,809,"112,799",0,0,0,0,0,"112,799",0, ,20231215
9918,欣天然,0,0,0,4,4,"45,134",0,0,0,0,0,"45,134",0, ,20231215
9919,康那香,119,235,0,"9,778","9,662","48,840",83,33,0,"1,938","1,888","48,840",35, ,20231215
9921,巨大,146,42,0,"2,773","2,877","98,016",0,5,0,31,36,"98,016",0, ,20231215
9924,福興,26,17,0,"1,244","1,253","47,113",0,0,0,0,0,"47,113",0, ,20231215
9925,新保,0,0,0,2,2,"96,872",0,0,0,0,0,"96,872",0, ,20231215
9926,新海,3,0,0,3,6,"44,876",0,0,0,0,0,"44,876",0, ,20231215
9927,泰銘,12,64,0,"1,867","1,815","41,829",0,0,0,47,47,"41,829",2, ,20231215
9928,中視,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
9929,秋雨,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
9930,中聯資源,0,0,0,173,173,"62,135",0,0,0,0,0,"62,135",0, ,20231215
9931,欣高,0,0,0,6,6,"30,092",0,0,0,0,0,"30,092",0, ,20231215
9933,中鼎,45,15,0,"3,263","3,293","200,809",0,0,0,29,29,"200,809",0, ,20231215
9934,成霖,39,8,0,"6,877","6,908","102,155",0,1,0,2,3,"102,155",0, ,20231215
9935,慶豐富,1,0,9,657,649,"43,459",5,0,0,5,0,"43,459",0, ,20231215
9937,全國,4,24,0,720,700,"77,260",0,0,0,0,0,"77,260",0, ,20231215
9938,百和,145,85,8,"7,931","7,983","74,490",7,3,0,127,123,"74,490",0, ,20231215
9939,宏全,90,145,0,"2,184","2,129","71,946",0,3,0,10,13,"71,946",1, ,20231215
9940,信義,1,0,0,53,54,"184,211",0,0,0,0,0,"184,211",0, ,20231215
9941,裕融,49,36,0,907,920,"137,056",1,7,0,48,54,"137,056",0, ,20231215
9942,茂順,7,5,0,564,566,"20,790",0,0,0,8,8,"20,790",0, ,20231215
9943,好樂迪,5,7,0,"1,634","1,632","31,304",0,0,0,18,18,"31,304",0, ,20231215
9944,新麗,2,2,0,"5,605","5,605","27,276",0,0,0,0,0,"27,276",0, ,20231215
9945,潤泰新,534,371,0,"9,905","10,068","711,056",1,4,0,69,72,"711,056",0, ,20231215
9946,三發地產,13,1,0,"10,101","10,113","81,638",0,0,0,21,21,"81,638",0, ,20231215
9955,佳龍,20,69,0,"1,733","1,684","25,802",34,0,0,222,188,"25,802",0, ,20231215
9958,世紀鋼,"3,313","2,831",10,"26,884","27,356","58,994",484,184,5,"2,403","2,098","58,994",38, ,20231215
0050,元大台灣50,29,202,0,758,585,"576,250",4,2,0,137,135,"576,250",0, ,20231214
0051,元大中型100,0,2,0,86,84,"4,375",0,0,0,1,1,"4,375",0, ,20231214
0052,富邦科技,1,0,0,39,40,"10,625",0,0,0,4,4,"10,625",0, ,20231214
0053,元大電子,0,0,0,0,0,"1,247",0,0,0,0,0,"1,247",0,X ,20231214
0055,元大MSCI金融,0,5,0,141,136,"18,163",0,0,0,0,0,"18,163",0, ,20231214
0056,元大高股息,453,281,0,"3,488","3,660","1,703,883",10,2,0,859,851,"1,703,883",0, ,20231214
0057,富邦摩台,0,0,0,0,0,381,0,0,0,0,0,381,0,X ,20231214
0061,元大寶滬深,0,1,0,438,437,"32,529",0,0,0,0,0,"32,529",0, ,20231214
006203,元大MSCI台灣,0,0,0,0,0,"2,554",0,0,0,0,0,"2,554",0,X ,20231214
006204,永豐臺灣加權,0,0,0,3,3,375,0,0,0,0,0,375,0, ,20231214
006205,富邦上証,21,0,1,820,840,"46,227",0,0,0,2,2,"46,227",0, ,20231214
006206,元大上證50,0,0,0,227,227,"13,694",0,0,0,0,0,"13,694",1, ,20231214
006207,復華滬深,0,0,0,27,27,"8,473",0,0,0,0,0,"8,473",0, ,20231214
006208,富邦台50,7,70,0,200,137,"221,760",0,0,0,1,1,"221,760",0, ,20231214
00631L,元大台灣50正2,281,216,0,"2,978","3,043","25,646",115,84,0,"1,481","1,450","25,646",6, ,20231214
00632R,元大台灣50反1,"14,133","27,060",65,"663,288","650,296","1,931,287",226,84,0,"3,235","3,093","1,931,287",0, ,20231214
00633L,富邦上証正2,"1,560",605,16,"43,456","44,395","83,239",43,2,0,834,793,"83,239",32, ,20231214
00634R,富邦上証反1,6,3,0,"1,453","1,456","14,189",0,0,0,22,22,"14,189",0, ,20231214
