股票代號,股票名稱,買進,賣出,現金償還,前日餘額,今日餘額,限額,買進,賣出,現券償還,前日餘額,今日餘額,限額,資券互抵,註記,日期
00683L,期元大美元指正2,15,541,0,"5,324","4,798","7,358",19,13,0,389,383,"7,358",0, ,20231215
00684R,期元大美元指反1,9,0,0,24,33,"1,797",0,0,0,0,0,"1,797",0, ,20231215
00685L,群益臺灣加權正2,2,8,0,171,165,"1,284",0,0,0,30,30,"1,284",0, ,20231215
00686R,群益臺灣加權反1,5,9,0,"1,859","1,855","11,569",0,0,0,10,10,"11,569",0, ,20231215
00688L,國泰20年美債正2,"7,815","5,602",60,"78,070","80,223","183,028",22,148,0,760,886,"183,028",0, ,20231215
00689R,國泰20年美債反1,17,0,0,77,94,"2,347",0,0,0,1,1,"2,347",0, ,20231215
00690,兆豐藍籌30,0,17,0,145,128,"10,957",0,0,0,2,2,"10,957",0, ,20231215
00692,富邦公司治理,2,20,0,144,126,"172,570",0,0,0,0,0,"172,570",0, ,20231215
00693U,期街口S&P黃豆,3,6,0,48,45,"3,666",0,0,0,0,0,"3,666",0, ,20231215
00700,富邦恒生國企,17,0,0,63,80,"6,120",0,0,0,0,0,"6,120",0, ,20231215
00701,國泰股利精選30,1,1,0,79,79,"64,597",0,0,0,0,0,"64,597",0, ,20231215
00702,國泰標普低波高息,0,0,0,0,0,"1,672",0,0,0,0,0,"1,672",0,X ,20231215
00703,台新MSCI中國,3,1,0,7,9,"2,887",0,0,0,0,0,"2,887",0, ,20231215
00706L,期元大S&P日圓正2,"1,761",321,20,"45,681","47,101","115,771",97,11,0,"1,384","1,298","115,771",5, ,20231215
00707R,期元大S&P日圓反1,10,0,0,0,10,"1,713",0,0,0,0,0,"1,713",0, ,20231215
00708L,期元大S&P黃金正2,67,435,0,"1,985","1,617","8,768",3,12,0,302,311,"8,768",0, ,20231215
00709,富邦歐洲,0,0,0,0,0,"2,615",0,0,0,0,0,"2,615",0,X ,20231215
00710B,復華彭博非投等債,0,0,0,701,701,"76,065",0,0,0,0,0,"76,065",0,X ,20231215
00711B,復華彭博新興債,0,0,0,34,34,"221,815",0,0,0,0,0,"221,815",0,X ,20231215
00712,復華富時不動產,716,340,62,"9,331","9,645","718,127",0,0,0,0,0,"718,127",0,X ,20231215
00713,元大台灣高息低波,80,16,0,384,448,"245,878",0,0,0,0,0,"245,878",0, ,20231215
00714,群益道瓊美國地產,1,1,0,21,21,"10,391",0,0,0,0,0,"10,391",0, ,20231215
00715L,期街口布蘭特正2,"2,994","13,295",17,"103,335","93,017","207,846",160,"2,113","1,510","5,608","6,051","207,846",32, ,20231215
00717,富邦美國特別股,0,0,0,2,2,"52,026",0,0,0,0,0,"52,026",0, ,20231215
00728,第一金工業30,0,7,0,49,42,"20,855",0,0,0,0,0,"20,855",0, ,20231215
00730,富邦臺灣優質高息,55,0,0,12,67,"23,511",0,0,0,0,0,"23,511",0, ,20231215
00731,復華富時高息低波,0,0,0,9,9,"3,525",0,0,0,0,0,"3,525",0, ,20231215
00733,富邦臺灣中小,91,38,0,"1,017","1,070","8,866",0,0,0,15,15,"8,866",0, ,20231215
00735,國泰臺韓科技,0,0,0,204,204,"1,697",0,0,0,0,0,"1,697",0, ,20231215
00736,國泰新興市場,2,0,0,0,2,"1,681",0,0,0,0,0,"1,681",0, ,20231215
00737,國泰AI+Robo,1,0,0,39,40,"7,259",0,0,0,0,0,"7,259",0, ,20231215
00738U,期元大道瓊白銀,10,152,0,"2,265","2,123","13,449",0,5,0,35,40,"13,449",0, ,20231215
00739,元大MSCI A股,0,0,0,0,0,"8,747",0,0,0,0,0,"8,747",0,X ,20231215
00752,中信中國50,44,88,0,"1,239","1,195","109,929",0,0,0,0,0,"109,929",0, ,20231215
00753L,中信中國50正2,"2,047","3,243",0,"80,561","79,365","158,289",316,415,0,743,842,"158,289",551, ,20231215
00757,統一FANG+,18,17,0,539,540,"44,498",0,0,0,100,100,"44,498",0, ,20231215
00762,元大全球AI,1,0,0,97,98,"6,562",0,0,0,11,11,"6,562",0, ,20231215
00763U,期街口道瓊銅,0,12,0,130,118,"3,391",0,0,0,1,1,"3,391",0, ,20231215
00770,國泰北美科技,0,0,0,46,46,"2,739",0,0,0,0,0,"2,739",0, ,20231215
00771,元大US高息特別股,0,0,0,0,0,"5,056",0,0,0,0,0,"5,056",0,X ,20231215
00775B,新光投等債15+,0,0,0,0,0,"26,775",0,0,0,0,0,"26,775",0,X ,20231215
00783,富邦中証500,0,0,0,155,155,"2,382",0,0,0,0,0,"2,382",0, ,20231215
00830,國泰費城半導體,52,53,0,"1,359","1,358","93,491",5,9,0,255,259,"93,491",0, ,20231215
00850,元大臺灣ESG永續,2,17,0,166,151,"103,736",0,0,0,0,0,"103,736",0, ,20231215
00851,台新全球AI,0,4,0,6,2,"1,756",0,0,0,0,0,"1,756",0, ,20231215
00852L,國泰美國道瓊正2,9,15,0,440,434,"2,091",0,0,0,379,379,"2,091",0, ,20231215
00861,元大全球未來通訊,0,2,0,7,5,"28,603",0,0,0,0,0,"28,603",0, ,20231215
00865B,國泰US短期公債,0,0,0,0,0,"2,936",0,0,0,0,0,"2,936",0,X ,20231215
00875,國泰網路資安,10,0,0,28,38,"6,497",0,0,0,0,0,"6,497",0, ,20231215
00876,元大全球5G,0,0,0,7,7,"35,631",0,0,0,0,0,"35,631",0, ,20231215
00878,國泰永續高股息,137,439,345,"7,725","7,078","2,871,072",0,1,0,109,110,"2,871,072",0, ,20231215
00881,國泰台灣5G+,4,27,0,321,298,"605,975",4,0,0,29,25,"605,975",3, ,20231215
00882,中信中國高股息,496,"1,676",4,"13,658","12,474","932,962",0,5,0,36,41,"932,962",0, ,20231215
00885,富邦越南,726,170,0,"16,048","16,604","547,434",0,36,0,282,318,"547,434",1, ,20231215
00891,中信關鍵半導體,132,64,0,"1,133","1,201","303,397",0,0,0,4,4,"303,397",0, ,20231215
00892,富邦台灣半導體,22,57,0,532,497,"156,448",0,0,0,8,8,"156,448",0, ,20231215
00893,國泰智能電動車,128,75,0,"4,643","4,696","273,471",0,13,0,596,609,"273,471",0, ,20231215
00894,中信小資高價30,0,0,0,14,14,"29,127",0,0,0,0,0,"29,127",0, ,20231215
00895,富邦未來車,82,16,0,"2,202","2,268","69,604",0,0,0,184,184,"69,604",0, ,20231215
00896,中信綠能及電動車,18,70,0,402,350,"67,845",0,0,0,0,0,"67,845",0, ,20231215
00897,富邦基因免疫生技,179,7,0,730,902,"72,753",0,6,0,25,31,"72,753",0, ,20231215
00898,國泰基因免疫革命,2,5,0,556,553,"76,619",0,0,0,0,0,"76,619",0, ,20231215
00899,FT潔淨能源,46,15,0,270,301,"6,033",0,0,0,0,0,"6,033",0, ,20231215
00900,富邦特選高股息30,461,484,0,"2,458","2,435","658,631",0,1,0,427,428,"658,631",0, ,20231215
00901,永豐智能車供應鏈,0,1,0,61,60,"36,087",0,0,0,0,0,"36,087",0, ,20231215
00902,中信電池及儲能,141,409,3,"5,605","5,334","177,749",2,1,0,6,5,"177,749",6, ,20231215
00903,富邦元宇宙,100,71,0,"1,834","1,863","72,930",0,0,0,114,114,"72,930",0, ,20231215
00904,新光臺灣半導體30,32,0,0,272,304,"26,278",0,0,0,0,0,"26,278",0, ,20231215
00905,FT臺灣Smart,6,16,0,430,420,"48,456",0,0,0,2,2,"48,456",0, ,20231215
00907,永豐優息存股,17,10,0,338,345,"51,783",0,0,0,0,0,"51,783",0, ,20231215
00908,富邦入息REITs+,0,0,0,19,19,"13,229",0,0,0,0,0,"13,229",0, ,20231215
00909,國泰數位支付服務,6,0,0,27,33,"2,676",0,0,0,0,0,"2,676",0, ,20231215
00910,第一金太空衛星,0,24,0,25,1,"1,734",0,0,0,0,0,"1,734",0, ,20231215
00911,兆豐洲際半導體,1,0,0,203,204,"1,475",0,0,0,0,0,"1,475",0, ,20231215
00912,中信臺灣智慧50,1,0,0,13,14,"12,938",0,0,0,0,0,"12,938",0, ,20231215
00913,兆豐台灣晶圓製造,0,0,0,11,11,"2,191",0,0,0,0,0,"2,191",0, ,20231215
00915,凱基優選高股息30,311,430,10,"1,533","1,404","73,870",0,0,0,0,0,"73,870",0, ,20231215
00916,國泰全球品牌50,0,0,0,20,20,"16,979",0,0,0,0,0,"16,979",0, ,20231215
00917,中信特選金融,1,0,0,7,8,"7,244",0,0,0,0,0,"7,244",0, ,20231215
00918,大華優利高填息30,"2,674","1,745",5,"4,878","5,802","101,816",0,0,0,0,0,"101,816",0, ,20231215
00919,群益台灣精選高息,"2,945","7,013",0,"18,477","14,409","928,158",0,0,0,0,0,"928,158",0, ,20231215
00920,富邦ESG綠色電力,41,8,0,125,158,"3,695",0,0,0,0,0,"3,695",0, ,20231215
00921,兆豐龍頭等權重,17,3,1,94,107,"27,192",0,0,0,0,0,"27,192",0,X ,20231215
00922,國泰台灣領袖50,600,26,0,432,"1,006","144,921",0,0,0,12,12,"144,921",0, ,20231215
00923,群益台ESG低碳50,18,56,0,599,561,"179,980",0,0,0,4,4,"179,980",0, ,20231215
00924,復華S&P500成長,0,41,0,283,242,"28,400",0,0,0,0,0,"28,400",0, ,20231215
00925,新光標普電動車,29,0,0,20,49,"1,937",0,0,0,0,0,"1,937",0, ,20231215
00926,凱基全球菁英55,1,0,0,100,101,"6,495",0,0,0,0,0,"6,495",0, ,20231215
00927,群益半導體收益,1,19,0,124,106,"41,349",0,0,0,0,0,"41,349",0, ,20231215
00929,復華台灣科技優息,"4,915","1,720",40,"18,712","21,867","1,479,159",0,0,0,0,0,"1,479,159",0,X ,20231215
00930,永豐ESG低碳高息,0,0,0,68,68,"26,944",0,0,0,0,0,"26,944",0, ,20231215
00932,兆豐永續高息等權,0,0,0,61,61,"60,570",0,0,0,0,0,"60,570",0, ,20231215
00934,中信成長高股息,102,139,0,"1,379","1,342","139,381",0,0,0,0,0,"139,381",0, ,20231215
00935,野村臺灣新科技50,36,21,0,"1,395","1,410","50,626",0,0,0,0,0,"50,626",0, ,20231215
00936,台新永續高息中小,347,354,0,"2,342","2,335","66,449",0,0,0,12,12,"66,449",1, ,20231215
1101,台泥,209,96,1,"18,591","18,703","1,887,795",1,8,0,107,114,"1,887,795",0, ,20231215
1102,亞泥,0,10,0,"1,489","1,479","886,640",0,0,0,1,1,"886,640",0, ,20231215
1103,嘉泥,20,10,0,"1,661","1,671","197,561",0,0,0,0,0,"197,561",0, ,20231215
1104,環泥,16,37,0,"1,421","1,400","168,304",0,0,0,7,7,"168,304",0, ,20231215
1108,幸福,19,19,0,"1,974","1,974","101,184",0,0,0,1,1,"101,184",0, ,20231215
1109,信大,5,0,0,981,986,"85,289",0,0,0,0,0,"85,289",0, ,20231215
1110,東泥,0,0,0,"4,084","4,084","143,000",0,0,0,0,0,"143,000",0, ,20231215
1201,味全,0,0,3,802,799,"126,515",0,0,0,0,0,"126,515",0, ,20231215
1203,味王,0,0,0,36,36,"60,000",0,0,0,0,0,"60,000",0, ,20231215
1210,大成,16,13,0,"1,585","1,588","223,691",0,1,0,20,21,"223,691",0, ,20231215
