日期,代號,名稱,前日餘額,賣出,買進,現券,今日餘額,限額,前日餘額.1,當日賣出,當日還券,當日調整,當日餘額,次一營業日可限額,備註
2023-12-15,2330,台積電,49000,25000,3000,0,71000,6483017748,13704665,294000,0,0,13998665,8771277, 
2023-12-14,2330,台積電,0,49000,0,0,49000,6483017748,13704665,0,0,0,13704665,8351080, 
2023-12-13,2330,台積電,0,0,0,0,0,6483017748,13700665,4000,0,0,13704665,8256028, 
2023-12-12,2330,台積電,0,0,0,0,0,6483017748,13596665,104000,0,0,13700665,8153039,X 
2023-12-11,2330,台積電,4000,0,2000,2000,0,6483017748,13558665,38000,0,0,13596665,8105204,X 
