日期,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2023-12-08,2618,長榮航          ,41375034,43828000,-2452966,0,0,0,2500000,0,2500000,1950693,2201846,2057653,144193,3447500,1641000,1806500,1997727
2023-12-07,2618,長榮航          ,39055575,33552030,5503545,0,0,0,0,1000,-1000,2689719,1409666,907997,501669,3027050,839000,2188050,8192264
2023-12-06,2618,長榮航          ,18227453,9300840,8926613,0,0,0,2004000,0,2004000,2131046,991046,21000,970046,1370000,209000,1161000,13061659
2023-12-05,2618,長榮航          ,6531100,26659998,-20128898,0,0,0,3000000,0,3000000,-3017714,84000,1510577,-1426577,98000,1689137,-1591137,-20146612
2023-12-04,2618,長榮航          ,24337533,22423221,1914312,0,0,0,0,0,0,2903905,2281000,471095,1809905,1730000,636000,1094000,4818217
