代號,名稱,前日餘額,賣出,買進,現券,今日餘額,限額,前日餘額,當日賣出,當日還券,當日調整,當日餘額,次一營業日可限額,備註,日期
00673R,期元大S&P原油反1,"1,055,000","14,000","72,000",0,"997,000","156,175,750","11,191,000",0,"93,000",0,"11,098,000","8,151,296", ,20231215
00674R,期元大S&P黃金反1,"138,000",0,0,0,"138,000","12,525,750","853,000",0,0,0,"853,000","346,059", ,20231215
00675L,富邦臺灣加權正2,"401,000","3,000","6,000",0,"398,000","13,946,500","2,567,000",0,0,0,"2,567,000","361,269", ,20231215
00676R,富邦臺灣加權反1,"333,000",0,"9,000",0,"324,000","113,627,750","9,164,000",0,0,0,"9,164,000","1,331,070", ,20231215
00678,群益那斯達克生技,0,0,0,0,0,"2,112,000","87,000",0,0,0,"87,000","74,118", ,20231215
00680L,元大美債20正2,"25,902,000","5,545,000","193,000",0,"31,254,000","499,894,000","166,502,000","31,169,000","266,000",0,"197,405,000","2,552,600", ,20231215
00681R,元大美債20反1,0,0,0,0,0,"4,523,500","72,000",0,0,0,"72,000","122,120", ,20231215
00682U,期元大美元指數,0,0,0,0,0,"2,036,000","10,000",0,0,0,"10,000","6,274", ,20231215
00683L,期元大美元指正2,"389,000","13,000","19,000",0,"383,000","7,358,500","471,000",0,0,0,"471,000","122,238", ,20231215
00684R,期元大美元指反1,0,0,0,0,0,"1,797,000",0,0,0,0,0,"4,410", ,20231215
00685L,群益臺灣加權正2,"30,000",0,0,0,"30,000","1,284,750","80,000",0,0,0,"80,000","41,904", ,20231215
00686R,群益臺灣加權反1,"10,000",0,0,0,"10,000","11,569,000",0,0,0,0,0,"108,293", ,20231215
00688L,國泰20年美債正2,"760,000","148,000","22,000",0,"886,000","183,028,750","23,020,000","3,538,000",0,0,"26,558,000","7,139,200", ,20231215
00689R,國泰20年美債反1,"1,000",0,0,0,"1,000","2,347,250","17,000",0,0,0,"17,000","37,140", ,20231215
00690,兆豐藍籌30,"2,000",0,0,0,"2,000","10,957,500","357,000",0,0,0,"357,000","351,772", ,20231215
00692,富邦公司治理,0,0,0,0,0,"172,570,000","15,628,000",0,"706,000",0,"14,922,000","926,853", ,20231215
00693U,期街口S&P黃豆,0,0,0,0,0,"3,666,500","102,000",0,0,0,"102,000","20,383", ,20231215
00700,富邦恒生國企,0,0,0,0,0,"6,120,750","475,000",0,0,0,"475,000","91,258", ,20231215
00701,國泰股利精選30,0,0,0,0,0,"64,597,750","1,529,000","10,000",0,0,"1,539,000","310,465", ,20231215
00702,國泰標普低波高息,0,0,0,0,0,"1,672,000","1,000",0,0,0,"1,000","34,700",X ,20231215
00703,台新MSCI中國,0,0,0,0,0,"2,887,500","150,000",0,0,0,"150,000","18,367", ,20231215
00706L,期元大S&P日圓正2,"1,384,000","11,000","97,000",0,"1,298,000","115,771,000","11,587,000","800,000",0,0,"12,387,000","3,327,517", ,20231215
00707R,期元大S&P日圓反1,0,0,0,0,0,"1,713,750",0,0,0,0,0,"2,589", ,20231215
00708L,期元大S&P黃金正2,"302,000","12,000","3,000",0,"311,000","8,768,250","649,000",0,0,0,"649,000","304,314", ,20231215
00709,富邦歐洲,0,0,0,0,0,"2,615,000","66,000",0,0,0,"66,000","16,776",X ,20231215
00710B,復華彭博非投等債,0,0,0,0,0,"76,065,250","505,000",0,0,0,"505,000","123,549",X ,20231215
00711B,復華彭博新興債,0,0,0,0,0,"221,815,250","129,000",0,0,0,"129,000","53,544",X ,20231215
00712,復華富時不動產,0,0,0,0,0,"718,127,750","45,326,000",0,"2,000,000",0,"43,326,000","7,073,475",X ,20231215
00713,元大台灣高息低波,0,0,0,0,0,"245,878,000","16,323,000","1,271,000",0,0,"17,594,000","1,349,272", ,20231215
00714,群益道瓊美國地產,0,0,0,0,0,"10,391,750","691,000",0,0,0,"691,000","120,369", ,20231215
00715L,期街口布蘭特正2,"5,608,000","2,113,000","160,000","1,510,000","6,051,000","207,846,000","32,372,000",0,"1,830,000",0,"30,542,000","13,148,554", ,20231215
00717,富邦美國特別股,0,0,0,0,0,"52,026,250","751,000",0,0,0,"751,000","90,979", ,20231215
00728,第一金工業30,0,0,0,0,0,"20,855,750","811,000",0,0,0,"811,000","176,187", ,20231215
00730,富邦臺灣優質高息,0,0,0,0,0,"23,511,000","256,000",0,0,0,"256,000","137,151", ,20231215
00731,復華富時高息低波,0,0,0,0,0,"3,525,000","239,000",0,0,0,"239,000","169,407", ,20231215
00733,富邦臺灣中小,"15,000",0,0,0,"15,000","8,866,500","789,000","9,000",0,0,"798,000","188,304", ,20231215
00735,國泰臺韓科技,0,0,0,0,0,"1,697,250",0,0,0,0,0,"42,282", ,20231215
00736,國泰新興市場,0,0,0,0,0,"1,681,750","42,000",0,0,0,"42,000","34,019", ,20231215
00737,國泰AI+Robo,0,0,0,0,0,"7,259,500","294,000",0,0,0,"294,000","39,601", ,20231215
00738U,期元大道瓊白銀,"35,000","5,000",0,0,"40,000","13,449,750","463,000",0,0,0,"463,000","167,368", ,20231215
00739,元大MSCI A股,0,0,0,0,0,"8,747,000","81,000",0,0,0,"81,000","14,477",X ,20231215
