日期,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2023-12-08,0050,元大台灣50      ,10817742,1710000,9107742,0,0,0,0,0,0,-4023006,30000,627000,-597000,826345,4252351,-3426006,5084736
2023-12-07,0050,元大台灣50      ,54498,641207,-586709,0,0,0,0,0,0,-1027807,97000,119000,-22000,130199,1136006,-1005807,-1614516
2023-12-06,0050,元大台灣50      ,1929442,2362782,-433340,0,0,0,0,0,0,710659,85000,122034,-37034,1851012,1103319,747693,277319
2023-12-05,0050,元大台灣50      ,581724,1722215,-1140491,0,0,0,0,0,0,-1362560,127000,153000,-26000,316590,1653150,-1336560,-2503051
2023-12-04,0050,元大台灣50      ,946778,2080868,-1134090,0,0,0,0,0,0,-391828,176000,54000,122000,316450,830278,-513828,-1525918
