Date,open,high,low,close,adj close,volume
2023-12-01,573.0,579.0,573.0,579.0,575.9896240234375,28051165
2023-12-04,582.0,582.0,571.0,574.0,571.0155639648438,26847171
2023-12-05,571.0,572.0,567.0,570.0,567.036376953125,22229723
2023-12-06,568.0,575.0,568.0,570.0,567.036376953125,21518089
2023-12-07,570.0,573.0,566.0,566.0,563.0571899414062,20840397
2023-12-08,574.0,577.0,570.0,570.0,567.036376953125,33507214
2023-12-11,572.0,575.0,570.0,574.0,571.0155639648438,27378610
2023-12-12,580.0,581.0,575.0,578.0,574.9948120117188,29403010
2023-12-13,576.0,579.0,576.0,577.0,574.0,22977731
2023-12-14,581.0,582.0,579.0,582.0,582.0,39409958
