StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,15272877,13899,1673263794,109.6,110.9,108.45,110.75,0.55,2023-01-03
0051,59406,148,3033756,51.25,51.5,50.8,51.4,0.15,2023-01-03
0052,284445,403,26319413,92.0,93.5,91.4,93.3,0.8,2023-01-03
0053,7014,1006,361840,51.7,52.35,51.4,52.35,0.95,2023-01-03
0055,92843,307,1984374,21.46,21.52,21.23,21.49,-0.01,2023-01-03
0056,14697328,11364,372787005,25.28,25.5,25.19,25.49,0.09,2023-01-03
0057,22999,1001,1800503,78.6,78.65,78.3,78.65,0.05,2023-01-03
0061,135943,953,2516354,18.42,18.65,18.4,18.54,0.12,2023-01-03
006203,4673,910,247323,52.6,53.5,52.6,53.25,0.05,2023-01-03
006204,35658,980,2537288,70.7,71.2,70.7,71.2,0.0,2023-01-03
006205,907151,195,28471417,31.17,31.59,31.03,31.5,0.33,2023-01-03
006206,42306,926,1274133,30.04,30.46,29.9,30.46,0.42,2023-01-03
006207,71811,13,1764244,24.47,24.73,24.24,24.6,0.28,2023-01-03
006208,3480749,5762,215902000,61.8,62.7,61.35,62.6,0.5,2023-01-03
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-03
00631L,10188672,3759,938576250,91.5,94.3,90.4,94.05,1.25,2023-01-03
00632R,197420151,9013,1172489755,5.96,6.0,5.88,5.88,-0.03,2023-01-03
00633L,9994032,2288,383965000,38.9,39.01,37.81,38.65,-0.5,2023-01-03
00634R,1240000,94,5648400,4.53,4.59,4.52,4.54,0.03,2023-01-03
00635U,994164,373,23560091,23.63,23.79,23.59,23.75,0.28,2023-01-03
00636,443193,693,9438898,21.42,21.44,21.07,21.4,0.02,2023-01-03
00636K,200,2,1392,6.96,6.96,6.96,6.96,0.0,2023-01-03
00637L,90188258,10748,1368904042,15.39,15.41,14.94,15.26,-0.21,2023-01-03
00638R,1315001,119,12664729,9.55,9.69,9.55,9.55,0.05,2023-01-03
00639,807423,706,10199342,12.6,12.67,12.45,12.65,0.1,2023-01-03
00640L,374821,194,9820388,26.21,26.29,26.01,26.27,-0.7,2023-01-03
00641R,1328200,205,13357225,10.05,10.11,10.02,10.05,0.13,2023-01-03
00642U,3688079,603,62967505,17.12,17.17,16.97,17.04,0.23,2023-01-03
00643,536393,910,7883223,14.73,14.74,14.48,14.74,0.14,2023-01-03
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-03
00645,101335,485,2530052,25.0,25.0,24.89,24.98,-0.42,2023-01-03
00646,258409,367,9426212,36.49,36.57,36.36,36.55,-0.01,2023-01-03
00647L,81230,38,4024410,49.47,49.76,49.14,49.76,0.12,2023-01-03
00648R,1335128,161,10157525,7.62,7.64,7.59,7.6,-0.01,2023-01-03
00650L,18340304,2689,249644921,13.7,14.13,13.06,14.06,0.25,2023-01-03
00651R,2304010,438,19647893,8.55,8.71,8.38,8.4,-0.12,2023-01-03
00652,74857,983,2240203,29.98,30.05,29.82,30.05,0.01,2023-01-03
00653L,93045,52,4240515,46.01,46.01,45.17,45.82,-0.24,2023-01-03
00654R,395051,45,3112080,7.86,7.91,7.84,7.84,0.02,2023-01-03
00655L,2784620,761,75768479,27.63,27.65,26.76,27.44,-0.36,2023-01-03
00656R,972000,45,8311290,8.52,8.64,8.51,8.52,0.06,2023-01-03
00657,38029,10,1163349,30.6,30.63,30.47,30.63,-0.43,2023-01-03
00657K,200,2,1994,9.97,9.97,9.97,9.97,-0.12,2023-01-03
00660,4158,1003,115822,27.99,28.17,27.99,28.17,-0.01,2023-01-03
00661,6979,977,227805,32.77,32.77,32.68,32.77,-0.53,2023-01-03
00662,251243,302,10861407,43.22,43.34,43.03,43.31,-0.01,2023-01-03
00663L,12151,13,1048856,85.35,86.7,85.35,86.55,0.85,2023-01-03
00664R,5607670,599,37561419,6.73,6.77,6.64,6.65,-0.03,2023-01-03
00665L,42450642,4032,361087202,8.56,8.85,8.17,8.82,0.18,2023-01-03
00666R,383500,97,5700616,14.99,15.22,14.64,14.68,-0.14,2023-01-03
00668,48262,351,1786042,37.0,37.05,37.0,37.03,-0.03,2023-01-03
00668K,200,2,2410,12.05,12.05,12.05,12.05,-0.01,2023-01-03
00669R,10431369,535,84018145,8.06,8.08,8.03,8.04,-0.01,2023-01-03
00670L,3165838,952,153447173,48.37,48.75,48.0,48.68,0.23,2023-01-03
