StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,5597363,7516,735215490,131.0,131.8,130.8,131.8,0.45,2023-12-01
0051,48332,197,3406622,70.35,70.5,70.3,70.45,0.1,2023-12-01
0052,382254,245,47008985,122.65,123.35,122.55,123.3,0.15,2023-12-01
0053,7218,14,497789,68.8,69.3,68.8,69.3,0.5,2023-12-01
0055,148827,276,3545437,23.99,23.99,23.72,23.79,-0.12,2023-12-01
0056,16992308,10758,596364007,35.07,35.16,34.98,35.13,0.05,2023-12-01
0057,1000,1,96600,96.6,96.6,96.6,96.6,0.55,2023-12-01
0061,296400,768,4954208,16.75,16.76,16.69,16.69,-0.06,2023-12-01
006203,4000,949,254321,63.8,63.9,63.65,63.9,0.05,2023-12-01
006204,11141,1008,965048,86.7,86.8,86.5,86.8,0.1,2023-12-01
006205,769636,319,21814631,28.42,28.5,28.28,28.33,-0.09,2023-12-01
006206,270765,906,7377792,27.36,27.36,27.1,27.15,-0.21,2023-12-01
006207,227085,945,4968366,21.93,21.94,21.8,21.83,-0.14,2023-12-01
006208,2589400,3369,193937799,74.8,75.05,74.65,75.05,0.1,2023-12-01
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
00631L,3132924,1422,448641983,142.45,143.9,142.05,143.8,0.3,2023-12-01
00632R,68918739,2152,318793476,4.64,4.65,4.61,4.61,-0.02,2023-12-01
00633L,6895485,1894,211306467,31.18,31.22,30.31,30.45,-0.64,2023-12-01
00634R,597006,64,2923169,4.88,4.92,4.88,4.92,0.07,2023-12-01
00635U,162427,72,4032752,24.87,24.87,24.81,24.81,-0.02,2023-12-01
00636,1096722,1338,21181026,19.42,19.48,19.25,19.29,-0.13,2023-12-01
00636K,200,2,1234,6.17,6.17,6.17,6.17,-0.08,2023-12-01
00637L,67046688,8979,815323160,12.37,12.38,12.01,12.09,-0.24,2023-12-01
00638R,319000,54,3282050,10.22,10.38,10.22,10.37,0.17,2023-12-01
00639,508161,910,5322874,10.56,10.58,10.43,10.47,-0.09,2023-12-01
00640L,197038,101,8502900,43.01,43.3,42.97,43.08,0.32,2023-12-01
00641R,269039,67,2034803,7.59,7.59,7.56,7.56,-0.05,2023-12-01
00642U,5062776,1836,84428377,16.7,16.74,16.6,16.74,-0.4,2023-12-01
00643,453370,635,5392608,11.99,11.99,11.86,11.87,-0.12,2023-12-01
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
00645,306422,241,9948427,32.41,32.5,32.41,32.46,0.16,2023-12-01
00646,474393,320,21127960,44.45,44.63,44.44,44.62,0.26,2023-12-01
00647L,76130,24,4938962,64.7,65.0,64.7,64.95,0.45,2023-12-01
00648R,355085,48,2299922,6.48,6.49,6.47,6.49,0.01,2023-12-01
00650L,9080774,1180,86166653,9.61,9.61,9.39,9.45,-0.08,2023-12-01
00651R,506004,39,4784058,9.38,9.5,9.38,9.49,0.05,2023-12-01
00652,239508,860,7904994,32.83,33.14,32.83,33.08,0.3,2023-12-01
00653L,222465,118,11141551,49.74,50.35,49.74,50.2,0.76,2023-12-01
00654R,44005,25,322996,7.37,7.37,7.33,7.33,-0.05,2023-12-01
00655L,4213776,1008,89859128,21.73,21.75,21.07,21.2,-0.47,2023-12-01
00656R,1485300,42,13691662,9.13,9.27,9.13,9.27,0.15,2023-12-01
00657,35586,212,1397968,39.2,39.35,39.2,39.27,-0.02,2023-12-01
00657K,200,2,2510,12.55,12.55,12.55,12.55,0.05,2023-12-01
00660,23990,983,770635,32.08,32.24,32.08,32.24,0.24,2023-12-01
00661,1056700,269,45047791,42.57,42.68,42.57,42.62,0.05,2023-12-01
00662,940514,369,60416867,64.25,64.35,64.0,64.25,0.0,2023-12-01
00663L,6000,1,798300,133.05,133.05,133.05,133.05,0.6,2023-12-01
00664R,2521237,177,13128256,5.23,5.23,5.19,5.2,0.0,2023-12-01
00665L,38230373,3158,226007031,6.0,6.01,5.84,5.87,-0.08,2023-12-01
00666R,929002,37,15089292,16.21,16.42,16.19,16.39,0.13,2023-12-01
00668,189397,708,7769287,40.93,41.08,40.93,41.06,0.63,2023-12-01
00668K,200,2,2616,13.08,13.08,13.08,13.08,0.16,2023-12-01
00669R,4575535,478,34614820,7.56,7.58,7.55,7.58,-0.06,2023-12-01
00670L,1604986,548,144445533,90.0,90.2,89.8,90.0,-1.05,2023-12-01
00671R,26581107,551,122662705,4.6,4.63,4.59,4.62,0.05,2023-12-01
00673R,20737145,1584,166352145,8.0,8.07,8.0,8.0,0.19,2023-12-01
00674R,910105,85,10878460,11.96,11.97,11.94,11.97,0.01,2023-12-01
00675L,730244,569,42346450,57.7,58.25,57.55,58.25,0.25,2023-12-01
00676R,2481327,139,7143251,2.89,2.89,2.87,2.87,-0.01,2023-12-01
00678,283799,872,6884604,24.14,24.3,24.14,24.3,0.39,2023-12-01
00680L,59619272,5247,513062957,8.62,8.63,8.58,8.62,-0.1,2023-12-01
00681R,158503,53,3262076,20.56,20.61,20.56,20.61,0.14,2023-12-01
00682U,6086,5,126251,20.76,20.76,20.72,20.75,0.15,2023-12-01
00683L,171000,54,3750960,21.88,21.97,21.88,21.95,0.22,2023-12-01
00684R,1000,1,15830,15.83,15.83,15.83,15.83,0.0,2023-12-01
00685L,100590,47,5185174,51.3,51.8,51.1,51.8,0.3,2023-12-01
00686R,128000,23,397250,3.11,3.11,3.1,3.1,0.0,2023-12-01
00688L,21446212,1965,183200788,8.56,8.56,8.51,8.56,-0.1,2023-12-01
00689R,41000,14,875510,21.33,21.39,21.33,21.39,0.16,2023-12-01
00690,980087,672,27959788,28.49,28.57,28.48,28.54,0.01,2023-12-01
00692,2370312,1332,74943146,31.62,31.72,31.55,31.7,0.02,2023-12-01
00693U,34005,26,934718,27.65,27.65,27.38,27.39,-0.34,2023-12-01
00700,250299,861,2872831,11.52,11.53,11.43,11.47,-0.01,2023-12-01
00701,721684,396,18786864,26.02,26.07,25.98,26.01,-0.12,2023-12-01
00702,135463,975,2807843,20.65,20.78,20.64,20.78,0.35,2023-12-01
00703,4050,4,58402,14.46,14.46,14.4,14.42,-0.02,2023-12-01
00706L,19999689,936,146305833,7.36,7.38,7.3,7.32,-0.1,2023-12-01
00707R,16000,5,439660,27.42,27.54,27.42,27.5,0.13,2023-12-01
00708L,897526,108,24698432,27.57,27.57,27.47,27.49,-0.08,2023-12-01
00709,220516,70,5689351,25.82,25.82,25.78,25.8,-0.02,2023-12-01
00710B,251132,70,4675470,18.58,18.67,18.58,18.66,0.1,2023-12-01
00711B,156787,206,2444880,15.59,15.63,15.58,15.63,0.04,2023-12-01
00712,14934015,4215,142336263,9.5,9.57,9.5,9.57,0.09,2023-12-01
00713,3775877,4484,187484720,49.57,49.74,49.47,49.65,0.07,2023-12-01
00714,525706,204,9670430,18.32,18.45,18.32,18.42,0.21,2023-12-01
00715L,44199798,8077,640891389,14.7,14.7,14.34,14.61,-0.7,2023-12-01
00717,321186,660,4750018,14.75,14.83,14.75,14.8,0.09,2023-12-01
00728,370434,215,10047053,27.06,27.17,27.06,27.17,0.05,2023-12-01
00730,240401,211,4654586,19.33,19.4,19.29,19.35,-0.01,2023-12-01
00731,703711,187,46460830,65.95,66.05,65.8,66.05,-0.05,2023-12-01
00733,581663,595,32805531,55.7,56.65,55.7,56.65,0.8,2023-12-01
00735,125031,853,3710100,29.55,29.7,29.55,29.7,-0.05,2023-12-01
00736,103828,5,2073155,19.88,19.97,19.88,19.96,0.09,2023-12-01
00737,260101,636,7549264,28.96,29.06,28.96,29.03,0.03,2023-12-01
