StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,14211742,11908,1569704151,110.3,110.8,110.1,110.5,-0.25,2023-01-04
0051,15921,106,822051,51.7,51.75,51.4,51.7,0.3,2023-01-04
0052,301918,361,28125497,93.2,93.5,92.85,92.9,-0.4,2023-01-04
0053,16970,905,890265,52.5,52.7,52.3,52.3,-0.05,2023-01-04
0055,74895,222,1612403,21.49,21.62,21.44,21.61,0.12,2023-01-04
0056,11096326,8143,282618723,25.49,25.55,25.41,25.45,-0.04,2023-01-04
0057,3897,900,305966,78.5,78.9,78.5,78.6,-0.05,2023-01-04
0061,160160,523,2982526,18.55,18.66,18.55,18.6,0.06,2023-01-04
006203,5767,231,307741,53.55,53.55,53.3,53.45,0.2,2023-01-04
006204,23602,816,1680089,71.2,71.4,71.2,71.3,0.1,2023-01-04
006205,936942,153,29531217,31.6,31.64,31.4,31.41,-0.09,2023-01-04
006206,77705,856,2357269,30.45,30.51,30.25,30.33,-0.13,2023-01-04
006207,126137,892,3096727,24.56,24.61,24.49,24.52,-0.08,2023-01-04
006208,3264730,4612,204174055,62.4,62.7,62.25,62.35,-0.25,2023-01-04
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-04
00631L,4292914,1524,403421702,93.4,94.5,93.4,93.8,-0.25,2023-01-04
00632R,98957573,4587,582500743,5.9,5.91,5.86,5.9,0.02,2023-01-04
00633L,5834430,1352,227032981,38.87,39.26,38.47,38.65,0.0,2023-01-04
00634R,2812032,50,12667104,4.53,4.53,4.5,4.51,-0.03,2023-01-04
00635U,403017,191,9583081,23.75,23.84,23.71,23.82,0.07,2023-01-04
00636,437172,684,9363439,21.49,21.52,21.29,21.41,0.01,2023-01-04
00636K,200,2,1400,7.0,7.0,7.0,7.0,0.04,2023-01-04
00637L,61967942,6569,953354791,15.36,15.51,15.2,15.28,0.02,2023-01-04
00638R,677000,51,6450590,9.53,9.56,9.49,9.56,0.01,2023-01-04
00639,805615,1003,10192247,12.68,12.7,12.58,12.6,-0.05,2023-01-04
00640L,896000,104,23588000,26.23,26.5,26.23,26.35,0.08,2023-01-04
00641R,1404006,169,14106460,10.06,10.07,10.0,10.06,0.01,2023-01-04
00642U,3949739,1418,64929848,16.52,16.55,16.39,16.4,-0.64,2023-01-04
00643,270726,859,3980552,14.75,14.78,14.62,14.64,-0.1,2023-01-04
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-04
00645,65460,506,1634876,24.98,25.09,24.95,24.95,-0.03,2023-01-04
00646,110953,244,4039961,36.35,36.44,36.35,36.42,-0.13,2023-01-04
