date,FuturesID,ContractDate,Open,Max,Min,Close,Change,ChangePer,Volume,SettlementPrice,OpenInterest,TradingSession
2023-12-04,XAF,202403,0.6678,0.6678,0.6676,0.6676,0.0054,0.82,2.0,0.6676,14,Position
2023-12-04,XAF,202403,0.667,0.6674,0.667,0.6674,0.0052,0.79,24.0,0.0,0,AfterMarket
2023-12-04,XAF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0,Position
2023-12-04,XAF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,XAF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6679,0,Position
2023-12-04,XAF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,UNF,202312,15984.0,15992.0,15970.0,15975.0,12.0,0.08,236.0,15975.0,2138,Position
2023-12-04,UNF,202312,15966.0,16052.0,15871.0,16029.0,66.0,0.41,2222.0,0.0,0,AfterMarket
2023-12-04,UNF,202403,16183.0,16187.0,16170.0,16181.0,11.0,0.07,38.0,16181.0,392,Position
2023-12-04,UNF,202403,16163.0,16232.0,16080.0,16212.0,42.0,0.26,115.0,0.0,0,AfterMarket
2023-12-04,UNF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16346.0,3,Position
2023-12-04,UNF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,UNF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16494.0,0,Position
2023-12-04,UNF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,UNF,202412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16619.0,0,Position
2023-12-04,UNF,202412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,UDF,202312,36260.0,36290.0,36260.0,36270.0,249.0,0.69,84.0,36270.0,1333,Position
2023-12-04,UDF,202312,36029.0,36315.0,35951.0,36305.0,284.0,0.79,1109.0,0.0,0,AfterMarket
2023-12-04,UDF,202403,36572.0,36611.0,36572.0,36603.0,250.0,0.69,39.0,36603.0,462,Position
2023-12-04,UDF,202403,36372.0,36620.0,36322.0,36568.0,215.0,0.59,75.0,0.0,0,AfterMarket
2023-12-04,UDF,202406,36688.0,36688.0,36688.0,36688.0,135.0,0.37,2.0,36688.0,6,Position
2023-12-04,UDF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,UDF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37196.0,0,Position
2023-12-04,UDF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,TX,202312,17465.0,17491.0,17376.0,17419.0,-5.0,-0.03,69262.0,17418.0,87232,Position
2023-12-04,TX,202312,17426.0,17507.0,17366.0,17493.0,69.0,0.4,57183.0,0.0,0,AfterMarket
2023-12-04,TX,202401,17466.0,17485.0,17376.0,17418.0,-1.0,-0.01,733.0,17418.0,2837,Position
2023-12-04,TX,202401,17418.0,17500.0,17366.0,17495.0,76.0,0.44,732.0,0.0,0,AfterMarket
2023-12-04,TX,202402,17476.0,17481.0,17384.0,17422.0,2.0,0.01,51.0,17422.0,185,Position
