StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,12395862,10075,1379134974,111.25,111.7,110.95,111.3,0.8,2023-01-05
0051,12403,137,642989,51.7,51.8,51.65,51.75,0.05,2023-01-05
0052,268634,358,25138909,93.85,94.15,93.3,93.65,0.75,2023-01-05
0053,2342,1008,122693,52.7,52.7,52.7,52.7,0.4,2023-01-05
0055,281929,299,6115765,21.7,21.73,21.62,21.69,0.08,2023-01-05
0056,11847142,9142,302252011,25.55,25.6,25.43,25.46,0.01,2023-01-05
0057,3872,864,305877,79.4,79.4,79.05,79.05,0.45,2023-01-05
0061,349304,953,6598923,18.7,19.0,18.7,18.95,0.35,2023-01-05
006203,4178,897,224520,53.9,53.9,53.9,53.9,0.45,2023-01-05
006204,26252,996,1879465,71.8,71.8,71.6,71.6,0.3,2023-01-05
006205,1253207,326,40080600,31.6,32.12,31.6,32.02,0.61,2023-01-05
006206,52251,1053,1614459,30.69,31.05,30.69,30.97,0.64,2023-01-05
006207,119174,946,2966380,24.79,25.08,24.77,25.08,0.56,2023-01-05
006208,2068209,3600,130020467,62.7,63.15,62.6,62.8,0.45,2023-01-05
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
00631L,5580104,2305,530253194,95.15,95.85,94.25,94.5,0.7,2023-01-05
00632R,143100580,6022,837089299,5.84,5.88,5.82,5.87,-0.03,2023-01-05
00633L,15057624,2911,607683495,39.85,40.98,39.71,40.7,2.05,2023-01-05
00634R,1251079,150,5528348,4.46,4.46,4.4,4.41,-0.1,2023-01-05
00635U,519337,228,12427103,23.92,23.97,23.87,23.89,0.07,2023-01-05
00636,1221197,954,26708659,21.66,22.06,21.66,21.96,0.55,2023-01-05
00636K,200,2,1428,7.14,7.14,7.14,7.14,0.14,2023-01-05
00637L,120374926,14421,1915950311,15.74,16.18,15.66,16.11,0.83,2023-01-05
00638R,1242155,271,11602395,9.46,9.46,9.28,9.32,-0.24,2023-01-05
00639,1112133,1224,14421440,12.72,13.03,12.72,13.02,0.42,2023-01-05
00640L,666168,167,17446008,26.25,26.34,26.04,26.18,-0.17,2023-01-05
00641R,2630198,405,26601346,10.06,10.18,10.06,10.13,0.07,2023-01-05
00642U,8063243,2311,127148049,15.74,15.82,15.7,15.82,-0.58,2023-01-05
00643,353560,88,5283432,14.85,15.07,14.75,15.01,0.37,2023-01-05
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
00645,83360,1035,2080708,24.98,25.01,24.95,24.96,0.01,2023-01-05
00646,279204,317,10214998,36.59,36.61,36.47,36.59,0.17,2023-01-05
00647L,91614,49,4559434,49.77,49.85,49.5,49.82,0.49,2023-01-05
00648R,4613050,171,34969909,7.59,7.6,7.57,7.59,-0.04,2023-01-05
00650L,21426595,2350,334522952,15.47,15.92,15.33,15.4,0.74,2023-01-05
00651R,4162000,593,33231540,8.07,8.08,7.9,8.01,-0.22,2023-01-05
00652,126208,121,3771652,29.92,29.92,29.84,29.86,-0.06,2023-01-05
00653L,294175,115,13262258,45.45,45.45,44.86,44.91,-0.36,2023-01-05
00654R,550000,62,4349090,7.91,7.95,7.89,7.95,0.04,2023-01-05
00655L,5777793,1129,165280604,28.26,29.04,28.15,28.84,1.43,2023-01-05
00656R,1104100,153,9221974,8.43,8.43,8.3,8.33,-0.18,2023-01-05
00657,164936,944,5077346,30.82,30.83,30.73,30.73,0.13,2023-01-05
00657K,200,2,2004,10.02,10.02,10.02,10.02,0.03,2023-01-05
00660,8269,1004,238665,29.0,29.06,28.95,28.95,0.41,2023-01-05
00661,4250,6,139915,32.93,32.93,32.85,32.85,0.0,2023-01-05
00662,722213,438,31116975,43.15,43.2,42.99,43.16,0.04,2023-01-05
00663L,415000,35,36414850,87.95,88.35,86.85,87.05,0.45,2023-01-05
00664R,20663617,442,136427358,6.61,6.63,6.58,6.62,-0.03,2023-01-05
00665L,30255357,3096,298759122,9.86,10.07,9.7,9.75,0.52,2023-01-05
00666R,640000,184,8868980,14.22,14.22,13.69,13.91,-0.44,2023-01-05
00668,141583,970,5243828,37.04,37.11,37.04,37.11,0.12,2023-01-05
00668K,200,2,2410,12.05,12.05,12.05,12.05,0.02,2023-01-05
00669R,6793799,542,54553471,8.03,8.05,8.02,8.03,-0.01,2023-01-05
00670L,4163448,1150,200411336,48.25,48.35,47.84,48.18,-0.01,2023-01-05
00671R,13399091,388,89468979,6.67,6.7,6.66,6.67,-0.01,2023-01-05
00673R,56321529,3129,524643572,9.32,9.34,9.29,9.29,0.31,2023-01-05
00674R,2425090,242,30734411,12.67,12.71,12.65,12.71,-0.03,2023-01-05
00675L,2057233,532,78532269,38.17,38.48,37.79,37.91,0.2,2023-01-05
00676R,13682431,363,49605788,3.64,3.65,3.61,3.64,-0.02,2023-01-05
00678,493515,1032,12878521,26.06,26.13,26.06,26.1,0.2,2023-01-05
00680L,6269575,863,72930526,11.64,11.66,11.58,11.59,0.05,2023-01-05
00681R,215000,37,3950010,18.36,18.4,18.34,18.4,-0.05,2023-01-05
00682U,96155,49,1990838,20.71,20.76,20.68,20.76,-0.02,2023-01-05
00683L,1047073,250,22896056,21.82,21.95,21.77,21.94,-0.1,2023-01-05
00684R,13000,3,207260,15.97,15.97,15.94,15.94,-0.01,2023-01-05
00685L,100073,40,3390092,33.91,34.17,33.61,33.66,0.17,2023-01-05
00686R,1139000,35,4487470,3.94,3.95,3.93,3.94,-0.02,2023-01-05
00688L,653000,146,7531960,11.54,11.56,11.47,11.47,0.01,2023-01-05
00689R,63000,9,1202380,19.09,19.1,19.08,19.1,-0.08,2023-01-05
00690,212645,943,5343791,25.2,25.21,25.1,25.11,0.1,2023-01-05
00692,1177657,970,31919400,27.12,27.23,27.02,27.07,0.12,2023-01-05
00693U,69230,41,1832010,26.43,26.51,26.4,26.51,-0.21,2023-01-05
00700,908153,141,12702883,13.74,14.12,13.74,13.98,0.45,2023-01-05
00701,1305319,875,29147207,22.4,22.4,22.28,22.32,0.03,2023-01-05
00702,104243,958,2285186,21.97,21.97,21.91,21.94,0.25,2023-01-05
00703,317000,57,5444630,16.83,17.43,16.83,17.07,0.47,2023-01-05
00706L,6093664,903,62950194,10.38,10.4,10.27,10.27,-0.25,2023-01-05
00707R,65000,18,1533190,23.55,23.71,23.55,23.71,0.32,2023-01-05
00708L,997065,280,25606750,25.65,25.77,25.55,25.58,0.15,2023-01-05
00709,41877,1011,963662,23.04,23.04,23.01,23.04,0.25,2023-01-05
00710B,222112,61,3925825,17.68,17.69,17.65,17.67,0.05,2023-01-05
00711B,146035,946,2323381,15.97,15.97,15.9,15.93,0.0,2023-01-05
00712,3496172,1169,35013423,9.99,10.04,9.99,10.02,0.13,2023-01-05
00713,3060792,1920,113309381,37.01,37.11,36.96,37.01,0.08,2023-01-05
00714,366412,217,6894932,18.73,18.87,18.72,18.87,0.38,2023-01-05
00715L,53359241,8027,707689891,13.27,13.36,13.13,13.36,-1.05,2023-01-05
00717,275535,594,4038088,14.65,14.68,14.64,14.65,0.2,2023-01-05
00728,3204483,1154,70500172,21.96,22.11,21.91,21.97,-0.05,2023-01-05
00730,220085,189,3776825,17.07,17.23,17.07,17.13,0.06,2023-01-05
00731,1083568,172,58171177,53.7,53.85,53.6,53.8,0.2,2023-01-05
00732,100050,5,4111052,41.09,41.09,41.09,41.09,0.04,2023-01-05
00733,400958,415,13810300,34.9,34.92,34.05,34.07,-0.83,2023-01-05
00735,118061,1029,2872267,24.38,24.38,24.33,24.37,0.11,2023-01-05
00736,95904,911,1888873,19.7,19.81,19.7,19.75,0.28,2023-01-05
00737,289341,993,7071785,24.43,24.48,24.37,24.47,0.23,2023-01-05
00738U,1245440,270,29692804,23.91,23.92,23.72,23.8,-0.34,2023-01-05
00739,103666,994,2429221,23.3,23.52,23.3,23.5,0.46,2023-01-05
00752,4136548,1318,81620546,19.6,19.97,19.59,19.68,0.62,2023-01-05
00753L,21541039,3820,276291542,12.92,13.05,12.59,12.65,0.64,2023-01-05
00757,309357,513,10197551,33.09,33.09,32.85,32.99,0.04,2023-01-05
00762,185415,155,5573750,30.03,30.1,29.96,30.06,0.39,2023-01-05
00763U,191000,32,4569170,24.06,24.06,23.79,23.83,-0.37,2023-01-05
00770,2002850,1585,54518394,27.11,27.37,27.07,27.22,0.18,2023-01-05
00771,41108,1053,671629,16.35,16.38,16.32,16.38,0.26,2023-01-05
00774B,4058,1001,165993,41.25,41.25,41.15,41.15,0.05,2023-01-05
00774C,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
00775B,52640,644,1769960,33.67,33.67,33.63,33.63,0.12,2023-01-05
00783,178952,959,3685291,20.59,20.61,20.44,20.57,0.16,2023-01-05
00830,5091260,1861,116592904,22.92,22.97,22.84,22.96,0.47,2023-01-05
00850,241870,457,6871317,28.48,28.52,28.31,28.35,0.13,2023-01-05
00851,30036,1006,672563,22.38,22.44,22.33,22.44,0.42,2023-01-05
00852L,388000,95,7433440,19.18,19.21,19.09,19.2,0.11,2023-01-05
00861,266152,107,6945181,26.12,26.14,26.0,26.13,0.28,2023-01-05
00865B,5504,508,221100,40.18,40.19,40.18,40.19,0.0,2023-01-05
00875,98481,103,2409321,24.49,24.5,24.4,24.49,0.07,2023-01-05
00876,198992,148,4822734,24.14,24.28,24.14,24.27,0.34,2023-01-05
00878,23836104,12563,388880589,16.28,16.36,16.28,16.32,0.09,2023-01-05
00881,6687311,2513,91546841,13.72,13.76,13.63,13.66,0.01,2023-01-05
00882,12683663,3661,158681905,12.43,12.57,12.43,12.5,0.21,2023-01-05
00885,18203161,4359,210964446,11.54,11.63,11.54,11.58,0.09,2023-01-05
00891,3910093,1298,43562358,11.16,11.23,11.07,11.09,0.02,2023-01-05
00892,2139053,650,21701993,10.14,10.21,10.09,10.11,0.07,2023-01-05
00893,14825818,3074,159786929,10.76,10.84,10.73,10.81,0.22,2023-01-05
00894,589773,210,6862275,11.7,11.73,11.59,11.61,0.01,2023-01-05
00895,2775205,659,31819269,11.43,11.49,11.43,11.48,0.16,2023-01-05
00896,821444,354,10730390,13.06,13.14,13.02,13.03,0.01,2023-01-05
00897,3471342,321,29106760,8.38,8.41,8.37,8.41,0.23,2023-01-05
00898,377284,166,2760543,7.32,7.33,7.3,7.32,0.09,2023-01-05
00899,82214,125,1817167,22.15,22.15,22.07,22.09,-0.02,2023-01-05
00900,4065893,1745,42623945,10.5,10.54,10.43,10.45,0.03,2023-01-05
00901,547821,185,6297776,11.53,11.58,11.47,11.48,0.02,2023-01-05
00902,4815074,1279,58612941,12.14,12.3,12.08,12.26,0.22,2023-01-05
00903,4105625,669,32921813,8.02,8.04,7.99,8.02,0.09,2023-01-05
00904,1114605,281,11766800,10.56,10.62,10.46,10.49,0.05,2023-01-05
00905,862640,280,7247453,8.4,8.45,8.38,8.4,0.04,2023-01-05
00906,57273,10,513386,8.98,8.98,8.95,8.98,0.11,2023-01-05
00907,621106,333,8974804,14.38,14.5,14.38,14.43,0.06,2023-01-05
00908,895435,144,12081813,13.5,13.53,13.48,13.5,0.17,2023-01-05
00909,1163452,244,17377976,14.94,14.97,14.9,14.95,0.36,2023-01-05
00910,236064,46,3513699,14.91,14.91,14.86,14.87,0.04,2023-01-05
00911,120000,14,1749550,14.51,14.59,14.5,14.54,0.24,2023-01-05
00912,908467,257,12442931,13.71,13.78,13.66,13.67,0.07,2023-01-05
00913,18009,5,256197,14.21,14.35,14.21,14.22,0.08,2023-01-05
00915,463073,237,7019272,15.16,15.22,15.11,15.12,0.02,2023-01-05
00916,582439,457,8170557,14.02,14.06,14.0,14.04,0.03,2023-01-05
00917,1282967,212,19363591,15.12,15.12,15.07,15.1,0.21,2023-01-05
00918,211527,48,3209392,15.15,15.22,15.1,15.1,0.04,2023-01-05
00919,1820415,772,30223465,16.57,16.69,16.49,16.51,0.01,2023-01-05
00920,2192136,231,35289697,16.13,16.16,16.06,16.07,-0.06,2023-01-05
01001T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
01002T,25000,12,450930,18.03,18.04,18.03,18.04,0.0,2023-01-05
01003T,10000,4,205790,20.57,20.59,20.57,20.58,0.0,2023-01-05
01004T,15000,5,226250,15.1,15.2,15.05,15.05,0.0,2023-01-05
01007T,2000,2,35460,17.73,17.73,17.73,17.73,0.0,2023-01-05
01009T,2000,1,16920,8.46,8.46,8.46,8.46,0.1,2023-01-05
01010T,48000,17,488230,10.2,10.2,10.01,10.2,-0.09,2023-01-05
020000,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
020002,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
020007,1000,1,29510,29.51,29.51,29.51,29.51,0.2,2023-01-05
020011,2000,1,13660,6.83,6.83,6.83,6.83,0.0,2023-01-05
020012,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
020015,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
020016,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
020018,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
020019,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
02001L,99000,5,828060,8.4,8.4,8.29,8.29,0.04,2023-01-05
02001R,7000,2,21780,3.09,3.12,3.09,3.12,0.0,2023-01-05
02001S,12000,6,57860,4.83,4.83,4.82,4.82,0.02,2023-01-05
020020,30000,13,184830,6.19,6.19,6.15,6.15,-0.01,2023-01-05
020022,144000,29,734300,5.1,5.12,5.09,5.09,0.02,2023-01-05
020028,38000,8,186720,4.9,4.94,4.9,4.91,0.01,2023-01-05
020029,68000,13,296670,4.31,4.39,4.31,4.36,0.01,2023-01-05
020030,55000,12,205790,3.75,3.76,3.72,3.74,0.01,2023-01-05
020031,48000,13,162650,3.4,3.4,3.38,3.39,0.03,2023-01-05
020032,35000,12,171060,4.9,4.91,4.86,4.86,-0.02,2023-01-05
020034,99000,12,403510,4.07,4.1,4.04,4.04,-0.01,2023-01-05
030001,14000,1,30380,2.17,2.17,2.17,2.17,-0.31,2023-01-05
030002,226000,24,104130,0.51,0.51,0.45,0.47,-0.05,2023-01-05
030003,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030004,100000,11,281470,2.85,2.88,2.7,2.7,-0.08,2023-01-05
030005,150000,5,93700,0.67,0.71,0.61,0.61,0.0,2023-01-05
030006,100000,2,49000,0.49,0.49,0.49,0.49,0.01,2023-01-05
030007,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030008,2000,1,960,0.48,0.48,0.48,0.48,-0.02,2023-01-05
030009,25000,2,13950,0.57,0.57,0.51,0.51,-0.02,2023-01-05
030010,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030011,200000,9,184000,0.93,0.93,0.91,0.91,0.04,2023-01-05
030012,47000,7,43090,0.99,0.99,0.87,0.87,-0.07,2023-01-05
030013,341000,4,325620,0.98,1.1,0.94,0.94,-0.04,2023-01-05
030014,100000,1,168000,1.68,1.68,1.68,1.68,0.11,2023-01-05
030015,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030016,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030017,495000,23,340290,0.7,0.73,0.65,0.66,-0.01,2023-01-05
030018,62000,2,61640,1.0,1.0,0.99,0.99,0.0,2023-01-05
030019,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03001P,871000,47,418710,0.47,0.51,0.45,0.5,-0.04,2023-01-05
03001U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030020,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030021,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030022,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030023,105000,13,173220,1.7,1.7,1.61,1.66,0.13,2023-01-05
030024,654000,24,879750,1.37,1.38,1.31,1.33,0.11,2023-01-05
030025,2349000,50,3197970,1.38,1.42,1.34,1.36,0.01,2023-01-05
030026,156000,2,94380,0.6,0.61,0.6,0.61,0.03,2023-01-05
030027,94000,3,135200,1.45,1.45,1.39,1.39,-0.04,2023-01-05
030028,91000,2,47320,0.52,0.52,0.52,0.52,0.0,2023-01-05
030029,92000,3,222380,2.44,2.44,2.39,2.39,0.09,2023-01-05
03002P,105000,2,49360,0.48,0.48,0.47,0.47,-0.06,2023-01-05
03002U,20000,1,45800,2.29,2.29,2.29,2.29,0.07,2023-01-05
030030,20000,2,14300,0.71,0.72,0.71,0.72,-0.01,2023-01-05
030031,4000,1,1600,0.4,0.4,0.4,0.4,0.0,2023-01-05
030032,86000,3,50620,0.59,0.59,0.56,0.56,-0.02,2023-01-05
030033,8000,2,3810,0.47,0.48,0.47,0.48,0.0,2023-01-05
030034,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030035,10000,2,2200,0.22,0.22,0.22,0.22,0.0,2023-01-05
030036,457000,6,337380,0.75,0.75,0.73,0.74,-0.01,2023-01-05
030037,46000,3,23360,0.5,0.56,0.5,0.56,0.0,2023-01-05
030038,67000,7,112570,1.59,1.76,1.59,1.75,0.31,2023-01-05
030039,40000,1,31200,0.78,0.78,0.78,0.78,0.0,2023-01-05
03003P,21000,11,33180,1.57,1.65,1.54,1.65,-0.13,2023-01-05
03003U,10000,2,16750,1.67,1.68,1.67,1.68,-0.13,2023-01-05
030040,298000,30,1312900,4.32,4.47,4.15,4.44,0.0,2023-01-05
030041,62000,10,71150,1.17,1.17,1.12,1.13,0.0,2023-01-05
030042,72000,5,87560,1.24,1.24,1.2,1.2,-0.04,2023-01-05
030043,98000,7,155260,1.57,1.67,1.52,1.67,0.25,2023-01-05
030044,23000,5,48990,2.14,2.14,2.11,2.12,0.12,2023-01-05
030045,23000,5,43240,1.87,1.89,1.87,1.89,0.06,2023-01-05
030046,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030047,167000,3,177670,1.06,1.07,1.05,1.05,0.0,2023-01-05
030048,40000,3,57100,1.43,1.44,1.41,1.41,0.0,2023-01-05
030049,198000,36,377700,1.88,1.97,1.8,1.81,0.0,2023-01-05
03004P,48000,12,89800,1.89,1.99,1.82,1.99,-0.14,2023-01-05
03004U,1000,1,1260,1.26,1.26,1.26,1.26,0.0,2023-01-05
030050,58000,8,75810,1.28,1.35,1.25,1.25,-0.01,2023-01-05
030051,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030052,1055000,24,1252870,1.2,1.22,1.17,1.19,0.0,2023-01-05
030053,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030054,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030055,252000,14,525500,2.21,2.21,2.02,2.02,0.05,2023-01-05
030056,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030057,5000,1,5250,1.05,1.05,1.05,1.05,0.03,2023-01-05
030058,91000,8,140300,1.72,1.72,1.47,1.47,-0.13,2023-01-05
030059,274000,33,232840,0.87,0.89,0.82,0.82,-0.09,2023-01-05
03005P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03005U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03005X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030060,97000,16,294220,3.04,3.2,2.96,3.04,-0.17,2023-01-05
030061,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030062,37000,7,53590,1.51,1.51,1.38,1.42,0.02,2023-01-05
030063,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030064,96000,17,99880,1.13,1.13,0.9,0.9,-0.22,2023-01-05
030065,207000,16,85430,0.49,0.49,0.39,0.39,0.0,2023-01-05
030066,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030067,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030068,496000,17,451400,0.95,0.96,0.87,0.88,-0.04,2023-01-05
030069,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03006P,400000,1,1132000,2.83,2.83,2.83,2.83,0.0,2023-01-05
03006U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03006X,3000,1,207000,69.0,69.0,69.0,69.0,0.0,2023-01-05
030070,997000,32,244910,0.27,0.27,0.22,0.24,-0.03,2023-01-05
030071,211000,17,124750,0.7,0.7,0.51,0.51,-0.14,2023-01-05
030072,797000,12,597200,0.8,0.83,0.7,0.7,-0.05,2023-01-05
030073,238000,19,312480,1.3,1.44,1.15,1.15,-0.02,2023-01-05
030074,1000,1,490,0.49,0.49,0.49,0.49,0.0,2023-01-05
030075,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030076,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030077,50000,1,24500,0.49,0.49,0.49,0.49,0.0,2023-01-05
030078,389000,9,703750,1.86,1.86,1.73,1.75,0.0,2023-01-05
030079,151000,10,97920,0.75,0.75,0.59,0.59,-0.2,2023-01-05
03007P,57000,1,60420,1.06,1.06,1.06,1.06,-0.01,2023-01-05
03007U,1000,1,2040,2.04,2.04,2.04,2.04,0.0,2023-01-05
03007X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030080,29000,1,13050,0.45,0.45,0.45,0.45,0.0,2023-01-05
030081,201000,23,343720,1.45,1.76,1.45,1.69,0.26,2023-01-05
030082,21000,5,68180,3.4,3.4,3.1,3.1,-0.8,2023-01-05
030083,7000,1,3850,0.55,0.55,0.55,0.55,-0.05,2023-01-05
030084,91000,5,515150,5.65,5.7,5.65,5.65,-0.15,2023-01-05
030085,22000,4,12800,0.6,0.6,0.58,0.58,-0.02,2023-01-05
030086,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030087,200000,15,271890,1.3,1.41,1.3,1.38,0.15,2023-01-05
030088,4000,1,2120,0.53,0.53,0.53,0.53,0.0,2023-01-05
030089,61000,9,123480,1.94,2.14,1.87,1.87,0.14,2023-01-05
03008P,2017000,66,2210470,1.05,1.14,1.05,1.09,-0.21,2023-01-05
03008U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030090,261000,18,186410,0.75,0.77,0.61,0.77,-0.08,2023-01-05
030091,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030092,50000,7,34150,0.71,0.71,0.68,0.68,-0.05,2023-01-05
030093,82000,10,35610,0.5,0.5,0.4,0.4,-0.18,2023-01-05
030094,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030095,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030096,45000,4,23850,0.53,0.55,0.52,0.55,-0.01,2023-01-05
030097,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030098,2000,1,1380,0.69,0.69,0.69,0.69,-0.01,2023-01-05
030099,2000,1,900,0.45,0.45,0.45,0.45,-0.01,2023-01-05
03009P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03009U,100000,1,165000,1.65,1.65,1.65,1.65,0.0,2023-01-05
030100,44000,5,109930,2.4,2.57,2.37,2.57,0.4,2023-01-05
030101,386000,14,551150,1.34,1.48,1.34,1.42,0.23,2023-01-05
030102,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030103,57000,1,120270,2.11,2.11,2.11,2.11,0.0,2023-01-05
030104,255000,4,203350,0.8,0.8,0.78,0.78,0.05,2023-01-05
030105,40000,3,26900,0.68,0.68,0.66,0.66,0.01,2023-01-05
030106,18000,2,42560,2.37,2.37,2.36,2.36,0.06,2023-01-05
030107,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030108,415000,14,656480,1.57,1.68,1.46,1.46,-0.04,2023-01-05
030109,620000,15,347000,0.57,0.59,0.5,0.51,-0.01,2023-01-05
03010P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03010U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03010X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030110,34000,2,14440,0.42,0.46,0.42,0.46,0.04,2023-01-05
030111,184000,12,813050,4.22,4.59,4.1,4.1,0.34,2023-01-05
030112,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030113,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030114,20000,3,23340,1.22,1.22,1.16,1.18,0.04,2023-01-05
030115,121000,7,177490,1.5,1.5,1.44,1.47,0.05,2023-01-05
030116,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030117,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030118,130000,10,234900,1.7,1.87,1.7,1.83,0.28,2023-01-05
030119,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03011P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03011U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030120,378000,10,942320,2.48,2.55,2.46,2.49,0.03,2023-01-05
030121,135000,13,189860,1.32,1.53,1.32,1.46,0.14,2023-01-05
030122,20000,1,6200,0.31,0.31,0.31,0.31,0.0,2023-01-05
030123,366000,8,137700,0.37,0.38,0.34,0.34,-0.02,2023-01-05
030124,98000,11,52590,0.52,0.56,0.52,0.53,0.06,2023-01-05
030125,20000,1,7800,0.39,0.39,0.39,0.39,0.0,2023-01-05
030126,6000,2,2520,0.42,0.42,0.42,0.42,0.06,2023-01-05
030127,2000,2,4330,2.21,2.21,2.12,2.12,0.01,2023-01-05
030128,2000,1,10000,5.0,5.0,5.0,5.0,-0.15,2023-01-05
030129,762000,41,3450410,4.47,4.57,4.34,4.53,0.07,2023-01-05
03012P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03012U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03012X,33000,4,476800,14.5,14.5,14.4,14.4,0.2,2023-01-05
030130,241000,20,1024130,4.19,4.3,4.1,4.23,-0.02,2023-01-05
030131,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030132,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030133,23000,4,27110,1.21,1.21,1.17,1.17,-0.02,2023-01-05
030134,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030135,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
030136,26000,11,27040,1.05,1.05,1.03,1.05,0.05,2023-01-05
030137,10000,1,10800,1.08,1.08,1.08,1.08,0.05,2023-01-05
030138,4000,2,4460,1.12,1.12,1.1,1.1,0.06,2023-01-05
030139,275000,6,596000,2.13,2.2,2.13,2.13,-0.02,2023-01-05
03013P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
03013U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-05
