StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
03999P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04000P,100000,1,4000,0.04,0.04,0.04,0.04,-0.01,2023-01-06
04001P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04002P,444000,10,653150,1.43,1.51,1.43,1.47,0.07,2023-01-06
04003P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04004P,288000,2,173600,0.62,0.62,0.6,0.6,-0.02,2023-01-06
04005P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04006P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04007P,28000,4,13220,0.49,0.49,0.46,0.46,-0.04,2023-01-06
04008P,80000,1,50400,0.63,0.63,0.63,0.63,0.08,2023-01-06
04009P,125000,7,81220,0.68,0.69,0.6,0.6,-0.02,2023-01-06
040104,16000,5,1710,0.1,0.11,0.1,0.11,0.0,2023-01-06
04010P,23000,2,37000,1.61,1.61,1.58,1.58,-0.06,2023-01-06
04011P,9000,1,16650,1.85,1.85,1.85,1.85,0.03,2023-01-06
04012P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04013P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04014P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04015P,415000,4,284200,0.68,0.72,0.66,0.66,-0.09,2023-01-06
04016P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04017P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04018P,50000,2,50250,1.01,1.01,1.0,1.0,-0.08,2023-01-06
04019P,128000,16,149840,1.14,1.21,1.13,1.16,-0.03,2023-01-06
04020P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04021P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04022P,292000,5,171250,0.54,0.61,0.54,0.6,-0.13,2023-01-06
04023P,116000,2,234900,2.03,2.03,2.02,2.02,-0.21,2023-01-06
04024P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04025P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04026P,220000,2,262900,1.19,1.2,1.19,1.2,0.01,2023-01-06
04027P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04028P,111000,3,127520,1.14,1.15,1.14,1.15,-0.05,2023-01-06
04029P,283000,4,479050,1.7,1.7,1.69,1.69,0.09,2023-01-06
04030P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04031P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04032P,205000,2,131200,0.64,0.64,0.64,0.64,0.0,2023-01-06
04033P,195000,2,267030,1.38,1.38,1.35,1.35,-0.1,2023-01-06
04034P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04035P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
04036P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-01-06
