Site,county,PM25,DataCreationDate,ItemUnit
前鎮,高雄市,18,2020-05-13 15:00,μg/m3
前金,高雄市,20,2020-05-13 15:00,μg/m3
左營,高雄市,19,2020-05-13 15:00,μg/m3
楠梓,高雄市,14,2020-05-13 15:00,μg/m3
林園,高雄市,20,2020-05-13 15:00,μg/m3
大寮,高雄市,30,2020-05-13 15:00,μg/m3
鳳山,高雄市,12,2020-05-13 15:00,μg/m3
仁武,高雄市,19,2020-05-13 15:00,μg/m3
橋頭,高雄市,20,2020-05-13 15:00,μg/m3
美濃,高雄市,14,2020-05-13 15:00,μg/m3
臺南,臺南市,18,2020-05-13 15:00,μg/m3
安南,臺南市,15,2020-05-13 15:00,μg/m3
善化,臺南市,12,2020-05-13 15:00,μg/m3
新營,臺南市,13,2020-05-13 15:00,μg/m3
嘉義,嘉義市,9,2020-05-13 15:00,μg/m3
臺西,雲林縣,34,2020-05-13 15:00,μg/m3
朴子,嘉義縣,17,2020-05-13 15:00,μg/m3
新港,嘉義縣,32,2020-05-13 15:00,μg/m3
測站（試運轉）,雲林縣,6,2019-01-02 09:00,μg/m3
斗六,雲林縣,37,2020-05-13 15:00,μg/m3
南投,南投縣,34,2020-05-13 15:00,μg/m3
二林,彰化縣,32,2020-05-13 15:00,μg/m3
線西,彰化縣,28,2020-05-13 15:00,μg/m3
彰化,彰化縣,30,2020-05-13 15:00,μg/m3
西屯,臺中市,26,2020-05-13 15:00,μg/m3
忠明,臺中市,26,2020-05-13 15:00,μg/m3
大里,臺中市,27,2020-05-13 15:00,μg/m3
沙鹿,臺中市,,2020-05-13 15:00,μg/m3
豐原,臺中市,27,2020-05-13 15:00,μg/m3
三義,苗栗縣,24,2020-05-13 15:00,μg/m3
苗栗,苗栗縣,24,2020-05-13 15:00,μg/m3
頭份,苗栗縣,23,2020-05-13 15:00,μg/m3
新竹,新竹市,23,2020-05-13 15:00,μg/m3
竹東,新竹縣,28,2020-05-13 15:00,μg/m3
湖口,新竹縣,23,2020-05-13 15:00,μg/m3
龍潭,桃園市,27,2020-05-13 15:00,μg/m3
平鎮,桃園市,24,2020-05-13 15:00,μg/m3
觀音,桃園市,19,2020-05-13 15:00,μg/m3
大園,桃園市,25,2020-05-13 15:00,μg/m3
桃園,桃園市,,2020-05-13 15:00,μg/m3
大同,臺北市,,2020-05-13 15:00,μg/m3
松山,臺北市,27,2020-05-13 15:00,μg/m3
古亭,臺北市,24,2020-05-13 15:00,μg/m3
萬華,臺北市,24,2020-05-13 15:00,μg/m3
中山,臺北市,25,2020-05-13 15:00,μg/m3
士林,臺北市,23,2020-05-13 15:00,μg/m3
淡水,新北市,18,2020-05-13 15:00,μg/m3
林口,新北市,27,2020-05-13 15:00,μg/m3
菜寮,新北市,23,2020-05-13 15:00,μg/m3
新莊,新北市,25,2020-05-13 15:00,μg/m3
板橋,新北市,24,2020-05-13 15:00,μg/m3
土城,新北市,26,2020-05-13 15:00,μg/m3
新店,新北市,26,2020-05-13 15:00,μg/m3
萬里,新北市,18,2020-05-13 15:00,μg/m3
汐止,新北市,22,2020-05-13 15:00,μg/m3
基隆,基隆市,21,2020-05-13 15:00,μg/m3
