country_ch,country_en,cases,deaths
幾內亞,Guinea,"36,270",432
坦尚尼亞,Tanzania,"33,230",789
巴哈馬,Bahamas,"32,773",753
賴索托,Lesotho,"32,258",694
馬利,Mali,"30,215",715
海地,Haiti,"29,715",804
貝南,Benin,"26,498",163
剛果共和國,Congo,"23,792",375
聖露西亞,Saint Lucia,"21,535",341
布吉納法索,Burkina Faso,"20,683",372
東帝汶,East Timor,"20,501",122
臺灣,Taiwan,"19,192",851
索馬利亞,Somalia,"18,863",930
汶萊,Brunei,"18,152",102
塔吉克,Tajikistan,"17,745",125
紐西蘭,New Zealand,"17,612",53
南蘇丹,South Sudan,"16,851",137
香港,Hong Kong,"16,022",213
赤道幾內亞,Equatorial Guinea,"15,845",182
吉布地,Djibouti,"15,524",189
中非,Central Africa,"14,023",110
尼加拉瓜,Nicaragua,"13,727",221
聖馬利諾,San Marino,"12,884",109
格瑞那達,Grenada,"12,872",211
甘比亞,Gambia,"11,880",364
葉門,Yemen,"11,166","2,028"
索馬利蘭,Somaliland,"9,890",610
列支敦斯登,Liechtenstein,"9,764",74
多米尼克,Dominica,"9,722",51
厄利垂亞,Eritrea,"9,644",101
摩納哥,Monaco,"8,808",46
尼日,Niger,"8,691",303
葛摩,Comoros,"7,964",160
幾內亞比索,Guinea-Bissau,"7,772",158
獅子山,Sierra Leone,"7,628",125
賴比瑞亞,Liberia,"7,276",290
查德,Chad,"7,155",190
安地卡及巴布達,Antigua and Barbuda,"6,853",131
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"6,705",99
不丹,Bhutan,"6,300",4
聖多美普林西比,Sao Tome and Principe,"5,912",71
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"5,476",38
索羅門群島,Solomon islands,"3,182",33
帛琉,Palau,"2,716",0
吉里巴斯,Kiribati,"1,543",0
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
澳門,Macao,79,0
薩摩亞,Samoa,33,0
教廷,Holy See,29,0
東加,Tonga,8,0
萬那杜,Vanuatu,7,1
馬紹爾群島,Marshall Islands,7,0
密克羅尼西亞聯邦,Micronesia,1,0
庫克群島,Cook Islands,1,0
